,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
1685,1685,1685,2014-06-02 00:00:00,250000.0,4.0,33.78378378378378,1850,7560,1.0,0,0,4,1540,310,1978,2000,4511 S 262nd St,Kent,WA 98032,USA,2.0
1721,1721,1721,2014-06-02 00:00:00,320000.0,5.0,21.192052980132452,3020,21441,1.0,0,0,4,1510,1510,1978,2000,29234 158th Ave SE,Kent,WA 98042,USA,2.5
1957,1957,1957,2014-06-05 00:00:00,292000.0,5.0,23.453815261044177,2490,7666,1.0,0,0,4,1490,1000,1989,0,12621 SE 222nd Pl,Kent,WA 98031,USA,2.5
1998,1998,1998,2014-06-05 00:00:00,268500.0,4.0,31.964285714285715,2100,4237,2.0,0,0,3,2100,0,2006,0,12519 SE 236th Pl,Kent,WA 98031,USA,2.5
2033,2033,2033,2014-06-06 00:00:00,435000.0,4.0,33.25688073394495,3270,50994,2.0,0,0,4,2720,550,1983,0,19011 SE 283rd St,Kent,WA 98042,USA,2.75
2111,2111,2111,2014-06-09 00:00:00,307550.0,4.0,38.832070707070706,1980,5909,2.0,0,0,3,1980,0,2003,0,11717 SE 234th Pl,Kent,WA 98031,USA,2.5
2138,2138,2138,2014-06-09 00:00:00,599950.0,4.0,40.21112600536193,3730,15029,2.0,0,2,3,2440,1290,1991,0,24702 132nd Ct SE,Kent,WA 98042,USA,3.5
2185,2185,2185,2014-06-10 00:00:00,315000.0,4.0,40.803108808290155,1930,9643,2.0,0,0,4,1930,0,1992,0,12108 SE 218th Pl,Kent,WA 98031,USA,2.5
2458,2458,2458,2014-06-13 00:00:00,300000.0,4.0,27.77777777777778,2700,10814,1.0,0,0,4,1560,1140,1966,0,12235 SE 259th Pl,Kent,WA 98030,USA,2.5
2463,2463,2463,2014-06-13 00:00:00,454000.0,4.0,43.155893536121674,2630,39000,2.0,0,0,3,2630,0,1979,2014,14404 SE 216th St,Kent,WA 98042,USA,2.25
2588,2588,2588,2014-06-16 00:00:00,565000.0,4.0,45.12779552715655,3130,139392,2.0,0,0,4,3130,0,1981,0,27705 114th Ave SE,Kent,WA 98030,USA,2.75
2660,2660,2660,2014-06-17 00:00:00,380000.0,4.0,44.18604651162791,2150,37647,2.0,0,0,3,2150,0,1991,0,19504 SE 324th St,Kent,WA 98042,USA,2.5
2677,2677,2677,2014-06-17 00:00:00,382500.0,4.0,43.26923076923077,2210,7079,2.0,0,0,3,2210,0,1993,0,11824 SE 203rd St,Kent,WA 98031,USA,2.5
2691,2691,2691,2014-06-17 00:00:00,280000.0,4.0,36.26943005181347,1930,7207,1.0,0,0,4,1360,570,1988,0,25011 119th Pl SE,Kent,WA 98030,USA,2.25
2704,2704,2704,2014-06-17 00:00:00,294999.0,4.0,44.42756024096386,1660,9760,2.0,0,0,3,1660,0,1994,0,11400-11616 SE 266th St,Kent,WA 98030,USA,2.5
2751,2751,2751,2014-06-18 00:00:00,264000.0,4.0,36.26373626373626,1820,8118,1.0,0,0,4,1080,740,1980,0,12632 SE 214th St,Kent,WA 98031,USA,1.75
2762,2762,2762,2014-06-18 00:00:00,279950.0,5.0,26.04186046511628,2150,7171,1.0,0,0,4,1460,690,1970,0,23103 125th Ave SE,Kent,WA 98031,USA,1.75
2782,2782,2782,2014-06-18 00:00:00,568450.0,5.0,34.874233128834355,3260,58806,2.0,0,0,4,3260,0,1969,0,25806 136th Ave SE,Kent,WA 98042,USA,3.5
2965,2965,2965,2014-06-20 00:00:00,282000.0,4.0,37.301587301587304,1890,6302,2.0,0,0,3,1890,0,1997,0,10125 SE 242nd Pl,Kent,WA 98030,USA,2.0
3094,3094,3094,2014-06-23 00:00:00,260000.0,4.0,32.5,2000,37045,2.0,0,0,3,2000,0,1989,0,29204 202nd Ave SE,Kent,WA 98042,USA,2.5
3131,3131,3131,2014-06-23 00:00:00,300000.0,4.0,40.76086956521739,1840,5550,2.0,0,0,3,1840,0,2004,2003,11831 SE 232nd Pl,Kent,WA 98031,USA,2.5
3132,3132,3132,2014-06-23 00:00:00,269950.0,4.0,26.569881889763778,2540,8400,2.0,0,0,5,2540,0,1977,0,25209 45th Ave S,Kent,WA 98032,USA,2.5
3152,3152,3152,2014-06-23 00:00:00,385000.0,4.0,35.648148148148145,2700,37011,2.0,0,0,3,2700,0,1984,0,18901 SE 281st St,Kent,WA 98042,USA,2.75
3217,3217,3217,2014-06-24 00:00:00,319000.0,4.0,31.772908366533866,2510,7992,1.0,0,0,3,1610,900,1978,0,3709 S 256th Ct,Kent,WA 98032,USA,2.5
3233,3233,3233,2014-06-24 00:00:00,305000.0,4.0,34.502262443438916,2210,9371,2.0,0,0,4,2210,0,1968,0,4129 Hampton Way,Kent,WA 98032,USA,2.25
3279,3279,3279,2014-06-25 00:00:00,390000.0,4.0,41.666666666666664,2340,8548,2.0,0,0,3,2340,0,1993,0,11824 SE 203rd St,Kent,WA 98031,USA,2.5
3317,3317,3317,2014-06-25 00:00:00,330000.0,6.0,18.092105263157894,3040,28535,1.0,0,0,3,1890,1150,1951,1994,614 Hazel Ave N,Kent,WA 98030,USA,2.25
3329,3329,3329,2014-06-25 00:00:00,249000.0,4.0,34.01639344262295,1830,6136,2.0,0,0,3,1830,0,1990,2009,26120-26126 120th Pl SE,Kent,WA 98030,USA,2.25
3428,3428,3428,2014-06-26 00:00:00,385000.0,4.0,30.078125,3200,22651,1.0,0,0,5,1610,1590,1970,0,23310 118th Pl SE,Kent,WA 98031,USA,2.5
3450,3450,3450,2014-06-26 00:00:00,315000.0,4.0,40.59278350515464,1940,10200,1.0,0,0,4,1140,800,1977,0,20825 135th Ave SE,Kent,WA 98042,USA,2.5
3451,3451,3451,2014-06-26 00:00:00,280927.0,4.0,33.92838164251208,2070,7350,2.0,0,0,4,2070,0,1977,0,26732 Carnaby Way,Kent,WA 98032,USA,2.25
3455,3455,3455,2014-06-26 00:00:00,289659.0,4.0,32.041924778761064,2260,7200,2.0,0,0,4,2260,0,1984,0,21114-21120 119th Ave SE,Kent,WA 98031,USA,2.25
3466,3466,3466,2014-06-26 00:00:00,354000.0,4.0,34.30232558139535,2580,5476,2.0,0,0,3,2580,0,2005,0,10125 SE 220th Pl,Kent,WA 98031,USA,2.5
3539,3539,3539,2014-06-27 00:00:00,330000.0,4.0,33.81147540983606,2440,7350,1.0,0,0,3,1610,830,1978,0,3716 S 253rd Pl,Kent,WA 98032,USA,1.75
3594,3594,3594,2014-06-27 00:00:00,234000.0,4.0,42.0863309352518,1390,18000,1.0,0,0,3,1390,0,1955,2013,3915 S 238th St,Kent,WA 98032,USA,1.0
3625,3625,3625,2014-06-29 00:00:00,402000.0,4.0,34.067796610169495,2950,15540,1.0,0,0,4,2120,830,1974,0,24204-24298 142nd Ave SE,Kent,WA 98042,USA,2.75
3679,3679,3679,2014-06-30 00:00:00,330000.0,4.0,35.256410256410255,2340,11784,2.0,0,0,3,2340,0,1997,0,24200-24498 144th Ave SE,Kent,WA 98042,USA,2.5
3711,3711,3711,2014-07-01 00:00:00,445000.0,4.0,48.79385964912281,2280,42077,2.0,0,0,3,2280,0,1994,0,19901-19999 SE 290th Pl,Kent,WA 98042,USA,2.5
3712,3712,3712,2014-07-01 00:00:00,274900.0,4.0,34.88578680203046,1970,6600,2.0,0,0,3,1970,0,1987,2000,28206 130th Ave SE,Kent,WA 98030,USA,2.5
3717,3717,3717,2014-07-01 00:00:00,328950.0,4.0,32.25,2550,8976,1.0,0,0,5,1300,1250,1978,0,19254 121st Pl SE,Kent,WA 98031,USA,1.75
3816,3816,3816,2014-07-02 00:00:00,260000.0,4.0,40.123456790123456,1620,7992,2.0,0,0,4,1620,0,1975,0,23109 125th Ave SE,Kent,WA 98031,USA,2.0
3834,3834,3834,2014-07-02 00:00:00,345000.0,5.0,28.163265306122447,2450,6994,2.0,0,0,3,2450,0,2002,0,11207 SE 272nd Pl,Kent,WA 98030,USA,2.5
3857,3857,3857,2014-07-02 00:00:00,394500.0,4.0,32.85309793471019,3002,6042,2.0,0,0,3,3002,0,2004,2003,11619 SE 200th St,Kent,WA 98031,USA,2.5
3861,3861,3861,2014-07-02 00:00:00,330000.0,4.0,39.19239904988124,2105,6093,2.0,0,0,3,2105,0,2003,0,27631-27699 145th Pl SE,Kent,WA 98042,USA,2.5
3891,3891,3891,2014-07-03 00:00:00,304900.0,4.0,29.317307692307693,2600,11325,1.0,0,0,4,1610,990,1969,0,23030 100th Ave SE,Kent,WA 98031,USA,1.75
3897,3897,3897,2014-07-03 00:00:00,342000.0,4.0,37.17391304347826,2300,6448,2.0,0,0,3,2300,0,2001,0,24612 102nd Pl SE,Kent,WA 98030,USA,2.5
3916,3916,3916,2014-07-03 00:00:00,390000.0,4.0,51.31578947368421,1900,76877,1.0,0,0,3,1900,0,2004,2003,17116 SE Covington Sawyer Rd,Kent,WA 98042,USA,2.0
3930,3930,3930,2014-07-03 00:00:00,395000.0,4.0,37.40530303030303,2640,35070,1.5,0,0,3,2640,0,1963,2008,19803 121st Ave SE,Kent,WA 98031,USA,2.75
4034,4034,4034,2014-07-07 00:00:00,300000.0,4.0,35.88516746411483,2090,5195,2.0,0,0,3,2090,0,2007,0,22736 129th Pl SE,Kent,WA 98031,USA,2.5
4072,4072,4072,2014-07-08 00:00:00,300000.0,4.0,34.09090909090909,2200,8065,2.0,0,0,3,2200,0,1998,2006,9526 S 221st Pl,Kent,WA 98031,USA,2.5
4194,4194,4194,2014-07-09 00:00:00,409124.0,5.0,24.646024096385542,3320,11340,2.0,0,0,4,2480,840,1999,0,14014 SE 236th Pl,Kent,WA 98042,USA,3.25
4341,4341,4341,2014-05-08 00:00:00,375000.0,6.0,19.494697442295696,3206,5793,2.0,0,0,3,3206,0,2012,1912,25921-25929 35th Pl S,Kent,WA 98032,USA,2.25
4379,4379,4379,2014-05-12 00:00:00,268971.875,4.0,28.253348214285715,2380,7066,2.0,0,0,4,2380,0,1997,0,12625 SE 228th Ct,Kent,WA 98031,USA,2.5
4386,4386,4386,2014-05-13 00:00:00,0.0,4.0,0.0,2180,22870,1.0,0,0,4,1280,900,1954,1975,31603 E Lake Morton Dr SE,Kent,WA 98042,USA,1.5
4404,4404,4404,2014-05-20 00:00:00,268971.875,4.0,36.152133736559136,1860,6687,1.0,0,0,4,1220,640,1983,0,22027 117th Ave SE,Kent,WA 98031,USA,2.5
4417,4417,4417,2014-05-23 00:00:00,259585.571429,4.0,33.1104045190051,1960,9898,2.0,0,0,3,1960,0,2001,0,24330 130th Ave SE,Kent,WA 98030,USA,2.5
4456,4456,4456,2014-06-04 00:00:00,132500.0,4.0,21.50974025974026,1540,115434,1.5,0,0,4,1540,0,1923,0,9138 S 208th St,Kent,WA 98031,USA,1.0
4462,4462,4462,2014-06-05 00:00:00,132250.0,4.0,15.083257299270073,2192,12128,2.0,0,0,3,2192,0,2006,0,26429 106th Ave SE,Kent,WA 98030,USA,2.25
4560,4560,4560,2014-06-30 00:00:00,132250.0,4.0,18.066939890710383,1830,8734,2.0,0,0,4,1830,0,1991,0,12116 SE 261st Ct,Kent,WA 98030,USA,2.25
4569,4569,4569,2014-07-02 00:00:00,268971.875,4.0,34.41298298362334,1954,4805,2.0,0,0,3,1954,0,2005,0,19320 113th Ave SE,Kent,WA 98031,USA,2.5
