,,price,price,yr_built,yr_built
SeaTac,2.0,110700.0,250000.0,1941,1993
SeaTac,3.0,145000.0,489000.0,1931,2006
SeaTac,4.0,170000.0,330000.0,1939,1999
SeaTac,5.0,0.0,349950.0,1959,2005
Seattle,0.0,1095000.0,1095000.0,1990,1990
Seattle,1.0,0.0,540000.0,1906,2014
Seattle,2.0,0.0,1695000.0,1900,2014
Seattle,3.0,0.0,12899000.0,1900,2014
Seattle,4.0,0.0,2555000.0,1900,2014
Seattle,5.0,0.0,2888000.0,1900,2014
Seattle,6.0,175000.0,2400000.0,1900,2014
Seattle,7.0,475000.0,3200000.0,1901,1978
Seattle,8.0,1970000.0,1970000.0,1959,1959
Seattle,9.0,599999.0,599999.0,1938,1938
Shoreline,2.0,229629.5,1000000.0,1947,1954
Shoreline,3.0,176225.0,1735000.0,1932,2007
Shoreline,4.0,265000.0,970000.0,1921,2014
Shoreline,5.0,377691.0,941500.0,1942,2003
Shoreline,6.0,2005000.0,2005000.0,1969,1969
Shoreline,8.0,340000.0,340000.0,1977,1977
Skykomish,2.0,134000.0,134000.0,1922,1922
Skykomish,3.0,150000.0,415000.0,1959,2009
Snoqualmie,1.0,527550.0,527550.0,1999,1999
Snoqualmie,2.0,235000.0,386000.0,1928,2008
Snoqualmie,3.0,310000.0,725000.0,1967,2014
Snoqualmie,4.0,435000.0,1149000.0,1998,2014
Snoqualmie,5.0,0.0,1075000.0,1958,2009
Snoqualmie,6.0,620000.0,620000.0,2004,2004
Snoqualmie Pass,3.0,525000.0,525000.0,1998,1998
Tukwila,2.0,7800.0,305000.0,1918,1968
Tukwila,3.0,165000.0,360000.0,1900,2002
Tukwila,4.0,171000.0,2110000.0,1920,2001
Tukwila,5.0,239950.0,292050.0,1941,2003
Vashon,2.0,255000.0,849900.0,1919,1990
Vashon,3.0,160000.0,789000.0,1918,2008
Vashon,4.0,395000.0,585000.0,1937,1991
Vashon,5.0,437000.0,437000.0,1913,1913
Woodinville,1.0,458000.0,458000.0,1976,1976
Woodinville,2.0,306000.0,589900.0,1946,1993
Woodinville,3.0,250000.0,880000.0,1953,2007
Woodinville,4.0,360000.0,1820000.0,1924,2013
Woodinville,5.0,0.0,950000.0,1975,2003
Woodinville,6.0,1135000.0,1135000.0,2002,2002
Yarrow Point,3.0,899000.0,1901000.0,1949,1992
Yarrow Point,4.0,84350.0,84350.0,1953,1953
Yarrow Point,5.0,1895000.0,1895000.0,1969,1969
