city,bedrooms,date,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,country
Seattle,4.0,2014-05-09 00:00:00,536500.0,1.75,2000,4000,1.5,0,0,5,1450,550,1926,0,4127 Fauntleroy Way SW,WA 98126,USA
Seattle,4.0,2014-05-09 00:00:00,742500.0,2.75,3100,3773,2.0,0,0,3,2000,1100,1919,1996,1614 32nd Ave,WA 98122,USA
Seattle,4.0,2014-05-09 00:00:00,769900.0,3.5,2730,3047,2.0,0,0,3,2400,330,2006,0,2653 46th Ave SW,WA 98116,USA
Seattle,4.0,2014-05-10 00:00:00,875000.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007,6521 Fremont Ave N,WA 98103,USA
Seattle,4.0,2014-05-11 00:00:00,842500.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0,906 17th Ave,WA 98122,USA
Seattle,4.0,2014-05-12 00:00:00,885000.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0,3503 NE 43rd St,WA 98105,USA
Seattle,4.0,2014-05-12 00:00:00,582000.0,1.75,2120,4650,1.0,0,1,3,1190,930,1951,1994,9214 Cyrus Ave NW,WA 98117,USA
Seattle,4.0,2014-05-12 00:00:00,1315000.0,3.5,3460,3997,2.0,0,0,3,2560,900,2004,2003,2346 N 59th St,WA 98103,USA
Seattle,4.0,2014-05-12 00:00:00,360000.0,2.0,1730,5500,1.0,0,0,5,1010,720,1943,0,7953 14th Ave SW,WA 98106,USA
Seattle,4.0,2014-05-12 00:00:00,870300.0,2.5,2350,3150,1.5,0,0,4,1690,660,1910,0,4410 Burke Ave N,WA 98103,USA
Seattle,4.0,2014-05-12 00:00:00,505000.0,1.75,1940,4800,1.0,0,0,5,1030,910,1922,1956,414 14th Ave,WA 98122,USA
Seattle,4.0,2014-05-12 00:00:00,610000.0,3.0,2110,5000,1.5,0,2,4,1640,470,1930,0,9319 45th Ave SW,WA 98136,USA
Seattle,4.0,2014-05-12 00:00:00,1300000.0,3.25,2330,9687,2.0,0,3,3,2330,0,1918,0,731 McGilvra Blvd E,WA 98112,USA
Seattle,4.0,2014-05-12 00:00:00,840000.0,2.75,2600,2750,1.5,0,0,3,1620,980,1936,0,2455 Queen Anne Ave N,WA 98109,USA
Seattle,4.0,2014-05-12 00:00:00,675000.0,3.0,2400,3340,1.0,0,0,4,1200,1200,1964,0,618 NW 49th St,WA 98107,USA
Seattle,4.0,2014-05-12 00:00:00,734200.0,2.5,2760,5000,1.5,0,0,5,1680,1080,1928,1970,950 NW 60th St,WA 98107,USA
Seattle,4.0,2014-05-12 00:00:00,630000.0,2.0,1770,6000,2.0,0,0,5,1770,0,1911,1981,3219 34th Ave W,WA 98199,USA
Seattle,4.0,2014-05-13 00:00:00,628000.0,2.0,2260,6000,1.0,0,0,3,1430,830,1958,2004,8028 27th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-13 00:00:00,2555000.0,2.5,5300,26211,2.0,1,2,2,4570,730,1923,0,4437 55th Ave NE,WA 98105,USA
Seattle,4.0,2014-05-13 00:00:00,1105000.0,1.5,2740,4000,2.0,0,0,5,1930,810,1905,0,1707-1713 3rd Ave N,WA 98109,USA
Seattle,4.0,2014-05-13 00:00:00,413000.0,1.0,1410,6000,1.0,0,0,3,810,600,1925,2002,4118 32nd Ave SW,WA 98126,USA
Seattle,4.0,2014-05-13 00:00:00,870000.0,2.5,3520,6773,2.5,0,0,3,2650,870,2006,0,7921 45th Ave SW,WA 98136,USA
Seattle,4.0,2014-05-13 00:00:00,650000.0,2.5,2210,4861,2.0,0,0,3,2210,0,2013,1923,615 NW 92nd St,WA 98117,USA
Seattle,4.0,2014-05-14 00:00:00,385000.0,1.75,1620,4980,1.0,0,0,4,860,760,1947,1988,10037 Interlake Ave N,WA 98133,USA
Seattle,4.0,2014-05-14 00:00:00,715000.0,2.25,2060,5649,1.0,0,0,5,1360,700,1941,0,3305 39th Ave W,WA 98199,USA
Seattle,4.0,2014-05-15 00:00:00,840000.0,1.75,2930,11562,1.0,0,3,3,1670,1260,1947,2012,3539 NW 67th St,WA 98117,USA
Seattle,4.0,2014-05-15 00:00:00,613000.0,2.0,1550,4815,1.5,0,0,3,1550,0,1909,2004,5212 Wallingford Ave N,WA 98103,USA
Seattle,4.0,2014-05-15 00:00:00,1255000.0,2.5,3200,7535,2.0,0,0,3,3200,0,2006,0,5038 48th Ave NE,WA 98105,USA
Seattle,4.0,2014-05-15 00:00:00,744000.0,3.0,1980,5352,2.5,0,0,3,1980,0,1941,2005,4103 SW Kenyon St,WA 98136,USA
Seattle,4.0,2014-05-15 00:00:00,495000.0,2.0,2050,4000,1.5,0,0,5,1210,840,1941,0,2609 21st Ave S,WA 98144,USA
Seattle,4.0,2014-05-15 00:00:00,640000.0,2.0,2560,7798,1.0,0,0,4,1890,670,1947,1988,8600-8698 30th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-15 00:00:00,343000.0,1.75,2290,10290,1.0,0,0,3,1340,950,1960,2012,2816 SW 110th Pl,WA 98146,USA
Seattle,4.0,2014-05-15 00:00:00,497000.0,2.5,2240,7200,2.0,0,0,3,2240,0,1995,0,4417 47th Ave S,WA 98118,USA
Seattle,4.0,2014-05-16 00:00:00,799000.0,3.25,3120,5000,2.0,0,0,3,2370,750,2005,0,2561 NE 85th St,WA 98115,USA
Seattle,4.0,2014-05-19 00:00:00,487250.0,2.0,1690,3250,1.5,0,0,3,1550,140,1901,0,4800-4898 Whitman Ave N,WA 98103,USA
Seattle,4.0,2014-05-19 00:00:00,560000.0,1.0,1660,4690,1.5,0,0,3,1260,400,1945,2010,7353 16th Ave NW,WA 98117,USA
Seattle,4.0,2014-05-19 00:00:00,285000.0,1.75,2080,13629,1.0,0,0,4,1040,1040,1955,2009,8024 S 130th St,WA 98178,USA
Seattle,4.0,2014-05-19 00:00:00,411000.0,2.75,2500,5257,2.0,0,0,3,2500,0,1966,1963,8309 36th Ave S,WA 98118,USA
Seattle,4.0,2014-05-19 00:00:00,885000.0,2.75,2730,3560,1.5,0,0,3,1550,1180,1921,2007,6211 Ravenna Ave NE,WA 98115,USA
Seattle,4.0,2014-05-19 00:00:00,333000.0,2.0,1580,7800,2.0,0,0,2,1580,0,1906,0,2023 24th Ave S,WA 98144,USA
Seattle,4.0,2014-05-19 00:00:00,850000.0,3.5,2640,5900,2.0,0,2,3,2640,0,1937,1998,6728 40th Ave SW,WA 98136,USA
Seattle,4.0,2014-05-19 00:00:00,1190000.0,3.0,2240,6000,1.5,0,0,4,1270,970,1914,1945,2009 4th Ave N,WA 98109,USA
Seattle,4.0,2014-05-20 00:00:00,520000.0,3.5,2680,10000,2.0,0,0,3,2040,640,1942,2014,13342 30th Ave NE,WA 98125,USA
Seattle,4.0,2014-05-20 00:00:00,575000.0,1.75,1280,6060,1.0,0,0,3,860,420,1926,2003,7032 7th Ave NW,WA 98117,USA
Seattle,4.0,2014-05-20 00:00:00,480000.0,2.75,2050,3960,1.0,0,0,4,1180,870,1986,0,2612 49th Ave SW,WA 98116,USA
Seattle,4.0,2014-05-20 00:00:00,387500.0,1.0,1320,4440,1.5,0,0,3,1320,0,1929,0,1505 29th Ave,WA 98122,USA
Seattle,4.0,2014-05-20 00:00:00,452000.0,1.0,1210,3760,1.5,0,0,3,1210,0,1900,2005,1106 N 80th St,WA 98103,USA
Seattle,4.0,2014-05-20 00:00:00,1275000.0,2.0,2850,7861,1.0,0,4,4,1450,1400,1970,0,3014 NW Esplanade,WA 98117,USA
Seattle,4.0,2014-05-20 00:00:00,978000.0,2.75,2620,13777,1.5,0,2,4,1720,900,1926,1993,2602 Shoreland Dr S,WA 98144,USA
Seattle,4.0,2014-05-20 00:00:00,700000.0,1.0,1680,4021,1.5,0,0,3,1680,0,1921,2000,2139 N 52nd St,WA 98103,USA
Seattle,4.0,2014-05-20 00:00:00,699000.0,2.5,2650,7945,2.0,0,0,3,2650,0,2006,0,11332 30th Ave NE,WA 98125,USA
Seattle,4.0,2014-05-20 00:00:00,475000.0,1.75,1650,7775,1.0,0,0,4,1150,500,1950,1983,11726 Phinney Ave N,WA 98133,USA
Seattle,4.0,2014-05-20 00:00:00,329000.0,2.5,1600,6765,1.0,0,0,3,830,770,1947,2011,6048 26th Ave SW,WA 98106,USA
Seattle,4.0,2014-05-20 00:00:00,494000.0,1.75,2090,4300,1.5,0,0,4,1250,840,1925,1968,5011 SW Dawson St,WA 98136,USA
Seattle,4.0,2014-05-20 00:00:00,423000.0,1.75,1940,6909,1.0,0,0,4,970,970,1941,1998,11207 Evanston Ave N,WA 98133,USA
Seattle,4.0,2014-05-20 00:00:00,879950.0,2.25,3500,13875,1.0,0,4,4,1830,1670,1938,0,10599 Marine View Dr SW,WA 98146,USA
Seattle,4.0,2014-05-20 00:00:00,953007.0,3.5,3120,5086,2.0,0,0,3,2480,640,2008,0,6511 37th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-21 00:00:00,199000.0,2.0,2030,8120,2.0,0,0,3,2030,0,1950,2005,11226 57th Ave S,WA 98178,USA
Seattle,4.0,2014-05-21 00:00:00,1506000.0,3.25,3660,5800,2.5,0,0,3,3360,300,1909,1995,1020 15th Ave E,WA 98112,USA
Seattle,4.0,2014-05-21 00:00:00,635000.0,2.25,2750,6180,1.0,0,0,4,1500,1250,1948,0,3821 39th Ave S,WA 98118,USA
Seattle,4.0,2014-05-21 00:00:00,475000.0,2.0,1790,2250,1.0,0,2,4,840,950,1909,1989,1017 N 38th St,WA 98103,USA
Seattle,4.0,2014-05-21 00:00:00,1003000.0,2.75,2290,6120,2.0,0,0,4,2170,120,1926,1993,124 NE 63rd St,WA 98115,USA
Seattle,4.0,2014-05-21 00:00:00,452000.0,2.0,1660,6150,1.0,0,0,3,850,810,1945,2010,7308 28th Ave SW,WA 98126,USA
Seattle,4.0,2014-05-21 00:00:00,1220000.0,2.5,3240,3600,2.0,0,0,3,2060,1180,2008,0,2433 1st Ave N,WA 98109,USA
Seattle,4.0,2014-05-21 00:00:00,700000.0,3.25,2780,7875,2.0,0,0,3,2780,0,2006,0,543 N 138th St,WA 98133,USA
Seattle,4.0,2014-05-21 00:00:00,334990.0,2.5,2220,4228,2.0,0,0,3,2220,0,2014,0,11283-11399 5th Ave SW,WA 98146,USA
Seattle,4.0,2014-05-22 00:00:00,305000.0,1.75,2200,8100,1.5,0,0,5,1400,800,1942,0,12036 23rd Ave S,WA 98168,USA
Seattle,4.0,2014-05-22 00:00:00,657000.0,1.75,2740,8520,1.0,0,2,3,1370,1370,1954,2005,5524 S Morgan St,WA 98118,USA
Seattle,4.0,2014-05-22 00:00:00,492000.0,2.0,1640,5000,2.0,0,0,3,1640,0,1907,1983,639 NW 52nd St,WA 98107,USA
Seattle,4.0,2014-05-22 00:00:00,805000.0,2.75,2410,6000,1.0,0,0,5,1410,1000,1950,0,3210 NW 58th St,WA 98107,USA
Seattle,4.0,2014-05-22 00:00:00,940000.0,2.75,2080,4000,1.5,0,0,3,2080,0,1912,2000,6042 Sycamore Ave NW,WA 98107,USA
Seattle,4.0,2014-05-23 00:00:00,980000.0,3.0,3680,5854,1.0,0,3,3,2060,1620,1967,2011,1414 Magnolia Blvd W,WA 98199,USA
Seattle,4.0,2014-05-23 00:00:00,648475.0,2.75,2250,5700,1.0,0,0,3,1200,1050,1951,1994,2436 Dexter Ave N,WA 98109,USA
Seattle,4.0,2014-05-23 00:00:00,1325000.0,3.0,3370,7920,1.0,0,3,3,1860,1510,1988,2000,3524 NW 67th St,WA 98117,USA
Seattle,4.0,2014-05-23 00:00:00,661254.0,4.0,2290,6250,1.5,0,0,5,1690,600,1940,0,2319 41st Ave SW,WA 98116,USA
Seattle,4.0,2014-05-23 00:00:00,670500.0,2.0,1590,6750,1.0,0,0,3,1590,0,1951,1994,2333 12th Ave E,WA 98102,USA
Seattle,4.0,2014-05-23 00:00:00,244000.0,1.0,1450,8960,1.0,0,0,3,1450,0,1943,2002,1011 SW 118th St,WA 98146,USA
Seattle,4.0,2014-05-23 00:00:00,530000.0,1.75,1814,5000,1.0,0,0,4,944,870,1951,1999,7532 44th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-23 00:00:00,334000.0,2.5,2210,6080,1.0,0,2,4,1410,800,1965,0,12413 84th Ave S,WA 98178,USA
Seattle,4.0,2014-05-27 00:00:00,477000.0,2.75,1720,6270,2.0,0,0,3,1720,0,1978,0,5149 S Graham St,WA 98118,USA
Seattle,4.0,2014-05-27 00:00:00,1050000.0,2.5,2920,7200,1.0,0,3,3,1470,1450,1921,2006,3438-3474 S Charles St,WA 98144,USA
Seattle,4.0,2014-05-27 00:00:00,688000.0,3.0,3000,4000,1.5,0,3,3,1970,1030,1913,2014,3220 19th Ave S,WA 98144,USA
Seattle,4.0,2014-05-27 00:00:00,1570000.0,3.75,3070,5850,2.0,0,0,5,2400,670,1927,0,1527 39th Ave E,WA 98112,USA
Seattle,4.0,2014-05-27 00:00:00,1655000.0,3.5,3080,4815,2.0,0,3,3,2300,780,1937,2009,2441-2499 Crane Dr W,WA 98199,USA
Seattle,4.0,2014-05-27 00:00:00,540000.0,4.25,1960,3565,2.0,0,0,3,1960,0,1940,2003,2113 41st Ave SW,WA 98116,USA
Seattle,4.0,2014-05-27 00:00:00,535000.0,2.5,2340,5600,2.0,0,0,3,2340,0,1921,2013,10207 37th Ave SW,WA 98146,USA
Seattle,4.0,2014-05-28 00:00:00,599000.0,2.75,2020,2750,1.0,0,0,3,1010,1010,1917,2014,3212 E Terrace St,WA 98122,USA
Seattle,4.0,2014-05-28 00:00:00,815000.0,2.25,2000,3800,2.0,0,0,3,2000,0,2001,0,7708 16th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-28 00:00:00,1285000.0,2.5,3240,10800,1.0,0,0,3,2260,980,1946,0,5726 61st Ave NE,WA 98105,USA
Seattle,4.0,2014-05-28 00:00:00,335000.0,2.0,1480,3132,1.0,0,0,5,740,740,1910,0,5840 16th Ave S,WA 98108,USA
Seattle,4.0,2014-05-28 00:00:00,840000.0,2.75,3040,2800,2.0,0,0,3,2100,940,1906,2014,318 E Mercer St,WA 98102,USA
Seattle,4.0,2014-05-28 00:00:00,1400000.0,3.25,2980,7000,2.0,0,3,3,2140,840,1900,2014,3115 S Norman St,WA 98144,USA
Seattle,4.0,2014-05-28 00:00:00,1210000.0,2.75,3650,6982,2.0,0,2,4,2530,1120,1951,2003,4911 NE 65th St,WA 98115,USA
Seattle,4.0,2014-05-28 00:00:00,277000.0,1.0,1450,6250,1.0,0,0,3,990,460,1964,2000,10020 18th Ave SW,WA 98146,USA
Seattle,4.0,2014-05-28 00:00:00,960000.0,2.25,2410,4560,2.0,0,2,5,1800,610,1929,0,7006 35th Ave NW,WA 98117,USA
Seattle,4.0,2014-05-28 00:00:00,840000.0,1.75,2330,4000,2.0,0,0,5,1300,1030,1924,1956,5036 36th Ave NE,WA 98105,USA
Seattle,4.0,2014-05-28 00:00:00,1400000.0,3.25,4700,9160,1.0,0,4,3,2520,2180,2005,0,5700-5798 SW Hinds St,WA 98116,USA
Seattle,4.0,2014-05-29 00:00:00,485000.0,1.0,1600,4300,1.5,0,0,4,1600,0,1916,0,1215 N 50th St,WA 98103,USA
Seattle,4.0,2014-05-29 00:00:00,400000.0,1.5,1390,7200,1.0,0,0,3,1140,250,1965,1993,2150 N 128th St,WA 98133,USA
Seattle,4.0,2014-05-29 00:00:00,820000.0,2.25,2280,6660,1.5,0,2,3,1960,320,1940,1984,811 W Bertona St,WA 98119,USA
Seattle,4.0,2014-05-29 00:00:00,2453500.0,3.5,4730,13586,1.5,0,0,5,4270,460,1935,0,1404 Broadmoor Dr E,WA 98112,USA
Seattle,4.0,2014-05-29 00:00:00,619000.0,2.0,2300,3400,1.5,0,0,5,1550,750,1915,0,308 NW 67th St,WA 98117,USA
Seattle,4.0,2014-05-29 00:00:00,400000.0,2.75,1240,3867,1.0,0,0,3,800,440,1987,2000,12001 Bartlett Ave NE,WA 98125,USA
Seattle,4.0,2014-05-29 00:00:00,450000.0,2.0,2240,7725,1.0,0,0,5,1120,1120,1956,0,2503 SW Portland Ct,WA 98106,USA
Seattle,4.0,2014-05-29 00:00:00,635200.0,1.75,1640,4240,1.0,0,0,5,920,720,1921,0,6517 Dibble Ave NW,WA 98117,USA
Seattle,4.0,2014-05-29 00:00:00,445000.0,1.75,1990,4725,1.5,0,0,4,1190,800,1944,0,3713 SW Sullivan St,WA 98126,USA
Seattle,4.0,2014-05-29 00:00:00,1425000.0,4.25,4960,6000,2.5,0,0,3,3680,1280,1909,2003,2611 1st Ave N,WA 98109,USA
Seattle,4.0,2014-05-29 00:00:00,350000.0,2.5,2040,22653,2.0,0,0,3,2040,0,2011,0,2471 S 116th Way,WA 98168,USA
Seattle,4.0,2014-05-30 00:00:00,715000.0,1.75,3420,7200,1.0,0,3,5,1770,1650,1947,0,10718 Exeter Ave NE,WA 98125,USA
Seattle,4.0,2014-05-30 00:00:00,659000.0,2.5,3190,11375,1.0,0,0,5,2210,980,1946,0,10326 Fischer Pl NE,WA 98125,USA
Seattle,4.0,2014-05-30 00:00:00,700000.0,2.5,2310,3570,1.5,0,0,3,1490,820,1927,2014,8216 Linden Ave N,WA 98103,USA
Seattle,4.0,2014-05-30 00:00:00,750000.0,2.75,2600,4674,1.0,0,0,3,1560,1040,1976,0,6820 39th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-30 00:00:00,735000.0,3.0,2840,4120,1.5,0,0,4,2060,780,1931,0,3849 Cascadia Ave S,WA 98118,USA
Seattle,4.0,2014-05-30 00:00:00,919204.0,3.5,3760,5000,2.0,0,0,3,2860,900,2014,0,2822 NW 74th St,WA 98117,USA
Seattle,4.0,2014-06-01 00:00:00,1505000.0,3.5,3480,7232,2.0,0,0,3,2580,900,1926,2010,1905 33rd Ave S,WA 98144,USA
Seattle,4.0,2014-06-02 00:00:00,965000.0,2.5,2460,5000,2.0,0,0,5,1620,840,1938,0,1024 Washington Pl E,WA 98112,USA
Seattle,4.0,2014-06-02 00:00:00,661000.0,2.25,1990,4600,1.5,0,2,4,1420,570,1932,1958,4426 38th Ave SW,WA 98126,USA
Seattle,4.0,2014-06-02 00:00:00,809000.0,1.5,1840,4337,2.0,0,0,4,1840,0,1917,0,1218 19th Ave E,WA 98112,USA
Seattle,4.0,2014-06-02 00:00:00,730000.0,2.0,2360,6000,1.0,0,0,5,1260,1100,1939,0,3635 41st Ave W,WA 98199,USA
Seattle,4.0,2014-06-02 00:00:00,540000.0,1.75,1720,4240,1.5,0,0,4,1460,260,1925,1968,2722 30th Ave S,WA 98144,USA
Seattle,4.0,2014-06-03 00:00:00,930000.0,2.5,2200,4000,2.0,0,0,5,1430,770,1908,0,2418 10th Ave W,WA 98119,USA
Seattle,4.0,2014-06-03 00:00:00,1100000.0,3.75,2930,3200,1.5,0,0,5,2130,800,1925,0,115 W Raye St,WA 98119,USA
Seattle,4.0,2014-06-03 00:00:00,835000.0,2.75,1550,4000,1.5,0,0,3,1550,0,1930,1997,4325 NE 43rd St,WA 98105,USA
Seattle,4.0,2014-06-03 00:00:00,960000.0,3.0,4590,9150,2.0,0,0,3,3490,1100,1981,2013,13003 13th Ave NW,WA 98177,USA
Seattle,4.0,2014-06-04 00:00:00,375000.0,1.75,2200,7475,1.0,0,0,5,1100,1100,1955,0,6609 43rd Ave S,WA 98118,USA
Seattle,4.0,2014-06-05 00:00:00,620000.0,2.25,2400,5350,1.5,0,0,4,1460,940,1929,0,6509 10th Ave NW,WA 98117,USA
Seattle,4.0,2014-06-05 00:00:00,450000.0,1.0,2000,4676,1.5,0,0,3,1250,750,1916,1986,5421-5499 52nd Terrace S,WA 98118,USA
Seattle,4.0,2014-06-05 00:00:00,445000.0,2.5,2340,3784,2.0,0,0,3,2340,0,2008,0,908 SW Austin St,WA 98106,USA
Seattle,4.0,2014-06-05 00:00:00,619000.0,1.75,1660,3800,1.5,0,0,3,1660,0,1926,2003,8054 Brooklyn Ave NE,WA 98115,USA
Seattle,4.0,2014-06-05 00:00:00,453500.0,1.75,2000,6032,1.0,0,2,3,1300,700,1959,1989,4404 SW 101st St,WA 98146,USA
Seattle,4.0,2014-06-05 00:00:00,456000.0,1.75,1670,9886,1.0,0,0,5,1670,0,1947,0,13205 39th Ave NE,WA 98125,USA
Seattle,4.0,2014-06-05 00:00:00,605004.0,2.0,1370,4000,2.0,0,0,3,1370,0,1951,1994,2825 W Jameson St,WA 98199,USA
Seattle,4.0,2014-06-05 00:00:00,886000.0,2.0,2660,3900,1.5,0,0,4,1480,1180,1923,0,1926 E Lynn St,WA 98112,USA
Seattle,4.0,2014-06-06 00:00:00,385200.0,1.0,1550,7740,1.5,0,0,3,1550,0,1954,2005,9014 34th Ave SW,WA 98126,USA
Seattle,4.0,2014-06-06 00:00:00,735000.0,2.5,2820,6180,2.0,0,0,3,2050,770,2013,1923,3958 S Lucile St,WA 98118,USA
Seattle,4.0,2014-06-06 00:00:00,545000.0,2.5,2040,6034,2.0,0,0,3,2040,0,1990,2009,9106 5th Ave NE,WA 98115,USA
Seattle,4.0,2014-06-06 00:00:00,500000.0,1.0,1720,4011,1.5,0,0,4,1720,0,1904,0,3004 NW 59th St,WA 98107,USA
Seattle,4.0,2014-06-06 00:00:00,920000.0,2.75,2880,5750,1.5,0,0,5,1710,1170,1928,1970,1718 44th Ave SW,WA 98116,USA
Seattle,4.0,2014-06-06 00:00:00,595000.0,2.5,1990,2175,2.0,0,0,3,1680,310,2005,0,1102 NW 56th St,WA 98107,USA
Seattle,4.0,2014-06-06 00:00:00,1280000.0,3.5,3010,3600,2.0,0,0,3,2370,640,1999,0,1622 38th Ave E,WA 98112,USA
Seattle,4.0,2014-06-06 00:00:00,739000.0,3.0,2720,3800,2.0,0,0,5,1800,920,1919,1934,6326 20th Ave NE,WA 98115,USA
Seattle,4.0,2014-06-09 00:00:00,831000.0,2.5,2030,3905,1.5,0,0,4,1630,400,1926,1993,3912 Ashworth Ave N,WA 98103,USA
