,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
3397,3397,3397,2014-06-25 00:00:00,260000.0,5.0,25.679012345679013,2025,7760,2.0,0,0,3,2025,0,2007,0,122 Greenlake Pl,Pacific,WA 98047,USA,2.5
2357,2357,2357,2014-06-12 00:00:00,1325000.0,5.0,82.8125,3200,20158,1.0,0,0,3,1600,1600,1965,1993,2154-2398 94th Ave NE,Clyde Hill,WA 98004,USA,2.25
4213,4213,4213,2014-07-09 00:00:00,480000.0,5.0,37.64705882352941,2550,7725,1.0,0,0,5,1390,1160,1967,0,12570 SE 72nd St,Newcastle,WA 98056,USA,2.75
1570,1570,1570,2014-05-29 00:00:00,525000.0,5.0,39.92395437262358,2630,9216,2.0,0,0,3,2630,0,2003,0,27831 NE 153rd Pl,Duvall,WA 98019,USA,2.5
795,795,795,2014-05-16 00:00:00,239950.0,5.0,32.86986301369863,1460,6032,2.0,0,0,4,1460,0,1941,1998,13012 41st Ave S,Tukwila,WA 98168,USA,1.0
507,507,507,2014-05-12 00:00:00,302000.0,5.0,27.706422018348626,2180,7813,2.0,0,0,3,2180,0,1986,0,26405 218th Ave SE,Maple Valley,WA 98038,USA,2.25
2741,2741,2741,2014-06-18 00:00:00,403500.0,5.0,22.416666666666668,3600,17300,1.0,0,0,4,2410,1190,1968,0,427 SW 174th St,Normandy Park,WA 98166,USA,2.5
4261,4261,4261,2014-07-09 00:00:00,2680000.0,5.0,124.94172494172494,4290,20445,2.0,0,0,4,4290,0,1985,0,1209 Evergreen Point Rd,Medina,WA 98039,USA,3.0
1786,1786,1786,2014-06-03 00:00:00,437000.0,5.0,41.22641509433962,2120,137565,1.5,0,0,3,2120,0,1913,1983,16633 Westside Hwy SW,Vashon,WA 98070,USA,2.0
3357,3357,3357,2014-06-25 00:00:00,531500.0,4.0,42.72508038585209,3110,49765,1.0,0,0,4,3110,0,1958,1972,22426 SE 300th St,Black Diamond,WA 98010,USA,2.75
1748,1748,1748,2014-06-03 00:00:00,471000.0,4.0,38.86138613861386,3030,9687,2.0,0,0,3,2020,1010,1998,2006,1165 SW 12th St,North Bend,WA 98045,USA,2.5
1302,1302,1302,2014-05-24 00:00:00,1680000.0,4.0,75.21489971346705,5584,68257,2.0,0,0,3,5584,0,1998,2006,29002 NE 3rd Way,Carnation,WA 98014,USA,4.25
2551,2551,2551,2014-06-16 00:00:00,792500.0,4.0,46.18298368298368,4290,175421,2.0,0,0,3,4290,0,2004,2003,26735 SE 271st St,Ravensdale,WA 98051,USA,2.5
166,166,166,2014-05-06 00:00:00,425000.0,4.0,69.90131578947368,1520,7983,1.0,0,0,5,1520,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,2.0
420,420,420,2014-05-09 00:00:00,248000.0,4.0,28.663892741562645,2163,5883,2.0,0,0,3,2163,0,2006,0,429 Milwaukee Blvd S,Algona,WA 98001,USA,3.0
3598,3598,3598,2014-06-27 00:00:00,415000.0,3.0,53.205128205128204,2600,64626,1.5,0,0,3,2600,0,2009,0,69506 NE Money Creek Rd,Skykomish,WA 98288,USA,2.75
4112,4112,4112,2014-07-08 00:00:00,250000.0,3.0,73.09941520467837,1140,10400,1.0,0,0,4,1140,0,1983,0,1705 Douglas Ct,Milton,WA 98354,USA,1.75
1064,1064,1064,2014-05-21 00:00:00,525000.0,3.0,83.33333333333333,2100,10362,2.0,0,0,3,1510,590,1998,2006,3 Ober Strasse,Snoqualmie Pass,WA 98068,USA,2.75
1476,1476,1476,2014-05-28 00:00:00,745000.0,3.0,166.66666666666666,1490,9800,1.0,0,0,4,1140,350,1947,1988,10637 SE 29th St,Beaux Arts Village,WA 98004,USA,1.75
1944,1944,1944,2014-06-05 00:00:00,685000.0,3.0,72.48677248677248,3150,219978,2.0,0,0,4,3000,150,1990,0,5424 298th Ave SE,Preston,WA 98050,USA,2.75
