,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
344,344,344,2014-05-08 00:00:00,489990.0,5.0,40.16311475409836,2440,20828,1.5,0,0,4,2440,0,1975,0,13711 SE 251 Pl,Kent,WA 98042,USA,2.25
348,348,348,2014-05-08 00:00:00,350000.0,4.0,38.888888888888886,2250,13515,1.0,0,0,4,2150,100,1940,2001,468 Scenic Way,Kent,WA 98030,USA,1.75
417,417,417,2014-05-09 00:00:00,201500.0,3.0,57.90229885057471,1160,8320,1.0,0,0,4,1160,0,1959,0,24345 35th Pl S,Kent,WA 98032,USA,1.0
425,425,425,2014-05-09 00:00:00,260000.0,3.0,61.032863849765256,1420,14850,1.0,0,0,4,1020,400,1963,0,3319 S 262nd St,Kent,WA 98032,USA,2.5
427,427,427,2014-05-09 00:00:00,312000.0,4.0,40.41450777202073,1930,7452,1.0,0,0,3,1430,500,1984,0,21423 114th Pl SE,Kent,WA 98031,USA,2.25
467,467,467,2014-05-10 00:00:00,265000.0,4.0,34.149484536082475,1940,9533,1.0,0,0,3,1080,860,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA,1.0
509,509,509,2014-05-12 00:00:00,201000.0,3.0,45.89041095890411,1460,9750,1.0,0,0,4,1460,0,1969,0,30928 148th Ave SE,Kent,WA 98042,USA,1.0
555,555,555,2014-05-13 00:00:00,373000.0,5.0,24.85838053982006,3001,5710,2.0,0,0,3,3001,0,2006,0,25523 123rd Pl SE,Kent,WA 98030,USA,2.5
565,565,565,2014-05-13 00:00:00,225000.0,3.0,60.0,1250,7500,1.0,0,0,3,1250,0,1967,2011,1405 E Maple St,Kent,WA 98030,USA,1.5
639,639,639,2014-05-14 00:00:00,266000.0,3.0,49.81273408239701,1780,7214,1.0,0,0,4,1400,380,1986,0,26205 119th Dr SE,Kent,WA 98030,USA,2.5
657,657,657,2014-05-14 00:00:00,325000.0,3.0,48.7987987987988,2220,6049,2.0,0,0,4,2220,0,1990,0,11909 SE 228th Pl,Kent,WA 98031,USA,2.5
665,665,665,2014-05-14 00:00:00,160000.0,3.0,62.01550387596899,860,11900,1.0,0,0,4,860,0,1963,0,27204 116th Pl SE,Kent,WA 98030,USA,1.0
712,712,712,2014-05-15 00:00:00,245000.0,3.0,54.80984340044743,1490,6930,1.0,0,0,4,1490,0,1990,0,12145 SE 260th Pl,Kent,WA 98030,USA,1.75
729,729,729,2014-05-15 00:00:00,316500.0,4.0,36.80232558139535,2150,6807,2.0,0,0,4,2150,0,1991,0,11401 SE 219th Pl,Kent,WA 98031,USA,2.5
782,782,782,2014-05-16 00:00:00,252700.0,2.0,118.08411214953271,1070,9643,1.0,0,0,3,1070,0,1985,0,13105 SE 277th Pl,Kent,WA 98030,USA,1.5
801,801,801,2014-05-16 00:00:00,425000.0,3.0,53.05867665418227,2670,13218,1.0,0,0,4,2670,0,1988,0,26010 141st Ave SE,Kent,WA 98042,USA,2.5
813,813,813,2014-05-16 00:00:00,400000.0,3.0,48.661800486618006,2740,83199,2.0,0,4,3,2740,0,1973,2013,27200-27218 52nd Ave S,Kent,WA 98032,USA,2.5
819,819,819,2014-05-16 00:00:00,306000.0,3.0,54.54545454545455,1870,5874,2.0,0,0,3,1870,0,2005,0,22610 133rd Pl SE,Kent,WA 98042,USA,2.5
827,827,827,2014-05-16 00:00:00,249000.0,3.0,57.638888888888886,1440,7673,1.0,0,0,3,940,500,1982,0,22119 123rd Ave SE,Kent,WA 98031,USA,2.25
859,859,859,2014-05-19 00:00:00,290000.0,4.0,42.64705882352941,1700,7280,2.0,0,0,4,1700,0,1988,0,22020 127th Ct SE,Kent,WA 98031,USA,2.5
876,876,876,2014-05-19 00:00:00,215000.0,3.0,73.88316151202748,970,7275,1.0,0,0,4,970,0,1970,0,11428 SE 225th St,Kent,WA 98031,USA,1.0
892,892,892,2014-05-19 00:00:00,296500.0,3.0,45.54531490015361,2170,7900,1.0,0,0,4,1380,790,1978,2000,26715 Stanford Ct,Kent,WA 98032,USA,2.75
945,945,945,2014-05-20 00:00:00,250000.0,4.0,31.887755102040817,1960,7560,1.0,0,0,5,1160,800,1978,0,12206 SE 217th St,Kent,WA 98031,USA,2.0
961,961,961,2014-05-20 00:00:00,263000.0,3.0,55.83864118895966,1570,7775,2.0,0,0,3,1570,0,1982,0,9226 S 239th Pl,Kent,WA 98031,USA,1.75
1006,1006,1006,2014-05-20 00:00:00,250000.0,4.0,25.0,2500,6300,1.0,0,0,4,1500,1000,1961,2001,24911-24917 38th Ave S,Kent,WA 98032,USA,1.5
1087,1087,1087,2014-05-21 00:00:00,256750.0,3.0,43.006700167504185,1990,8991,1.0,0,0,3,1570,420,1969,2010,23255 133rd Ave SE,Kent,WA 98042,USA,2.5
1137,1137,1137,2014-05-22 00:00:00,480000.0,4.0,36.92307692307692,3250,34293,2.0,0,0,4,3250,0,1983,0,28030 185th Pl SE,Kent,WA 98042,USA,2.25
1152,1152,1152,2014-05-22 00:00:00,430000.0,4.0,33.38509316770186,3220,8936,2.0,0,0,3,2450,770,1990,2009,20301 96th Ave S,Kent,WA 98031,USA,3.0
1205,1205,1205,2014-05-22 00:00:00,330000.0,4.0,26.19047619047619,3150,6202,2.0,0,0,3,3150,0,2005,0,22547 134th Pl SE,Kent,WA 98042,USA,3.5
1231,1231,1231,2014-05-23 00:00:00,235000.0,4.0,32.4585635359116,1810,39639,1.0,0,0,3,1230,580,1970,2014,17421 SE Covington Sawyer Rd,Kent,WA 98042,USA,2.5
1289,1289,1289,2014-05-23 00:00:00,255000.0,3.0,57.04697986577181,1490,8371,1.5,0,0,3,1490,0,1984,0,11405 SE 229th St,Kent,WA 98031,USA,2.0
1333,1333,1333,2014-05-27 00:00:00,265000.0,3.0,61.342592592592595,1440,7741,1.0,0,0,4,1000,440,1983,0,11009 SE 220th Pl,Kent,WA 98031,USA,2.5
1348,1348,1348,2014-05-27 00:00:00,325000.0,3.0,60.86142322097378,1780,13095,1.0,0,0,4,1780,0,1983,0,26222 142nd Ave SE,Kent,WA 98042,USA,1.75
1349,1349,1349,2014-05-27 00:00:00,344950.0,4.0,37.011802575107296,2330,6250,1.0,0,0,4,1400,930,1941,1998,440 Scenic Way,Kent,WA 98030,USA,2.0
1361,1361,1361,2014-05-27 00:00:00,283200.0,4.0,35.72149344096872,1982,6406,2.0,0,0,3,1982,0,2004,2003,26526 111th Pl SE,Kent,WA 98030,USA,2.5
1382,1382,1382,2014-05-27 00:00:00,282000.0,3.0,55.95238095238095,1680,15711,1.0,0,0,3,1240,440,1994,0,20020 127th Pl SE,Kent,WA 98031,USA,2.5
1460,1460,1460,2014-05-28 00:00:00,244615.0,3.0,39.58171521035599,2060,4030,2.0,0,0,3,2060,0,1999,0,921 4th Ave N,Kent,WA 98032,USA,2.5
1461,1461,1461,2014-05-28 00:00:00,460000.0,4.0,51.5695067264574,2230,52983,2.0,0,0,3,2230,0,1991,0,27209 110th Ave SE,Kent,WA 98030,USA,3.0
1474,1474,1474,2014-05-28 00:00:00,479900.0,3.0,80.79124579124579,1980,12150,1.0,0,0,3,1980,0,1994,0,26272 142nd Ave SE,Kent,WA 98042,USA,2.0
1497,1497,1497,2014-05-28 00:00:00,157500.0,2.0,106.41891891891892,740,9003,1.0,0,0,3,740,0,1949,1998,20206-20212 108th Ave SE,Kent,WA 98031,USA,1.0
1499,1499,1499,2014-05-28 00:00:00,124740.0,3.0,31.029850746268657,1340,15600,1.0,0,0,4,1340,0,1978,2000,31118 149th Ave SE,Kent,WA 98042,USA,1.0
1533,1533,1533,2014-05-29 00:00:00,264000.0,3.0,59.863945578231295,1470,14821,1.0,0,0,4,1470,0,1958,1972,14435 SE 263rd St,Kent,WA 98042,USA,1.5
1535,1535,1535,2014-05-29 00:00:00,412000.0,3.0,70.42735042735043,1950,52256,1.0,0,0,4,1950,0,1985,0,32119 199th Ave SE,Kent,WA 98042,USA,1.75
1537,1537,1537,2014-05-29 00:00:00,246500.0,3.0,64.69816272965879,1270,11600,1.0,0,0,4,1270,0,1964,0,10804 SE 218th St,Kent,WA 98031,USA,1.5
1633,1633,1633,2014-05-30 00:00:00,322000.0,4.0,35.30701754385965,2280,7200,2.0,0,0,3,2280,0,1994,0,10012 SE 244th Ct,Kent,WA 98030,USA,2.5
1685,1685,1685,2014-06-02 00:00:00,250000.0,4.0,33.78378378378378,1850,7560,1.0,0,0,4,1540,310,1978,2000,4511 S 262nd St,Kent,WA 98032,USA,2.0
1701,1701,1701,2014-06-02 00:00:00,316000.0,3.0,49.45226917057903,2130,8721,1.0,0,0,3,1570,560,1987,2000,20312 102nd Pl SE,Kent,WA 98031,USA,2.25
1721,1721,1721,2014-06-02 00:00:00,320000.0,5.0,21.192052980132452,3020,21441,1.0,0,0,4,1510,1510,1978,2000,29234 158th Ave SE,Kent,WA 98042,USA,2.5
1739,1739,1739,2014-06-03 00:00:00,328500.0,3.0,56.15384615384615,1950,8130,2.0,0,0,4,1950,0,1990,0,23915 135th Pl SE,Kent,WA 98042,USA,2.5
1747,1747,1747,2014-06-03 00:00:00,365000.0,3.0,70.73643410852713,1720,99916,2.0,0,0,4,1720,0,1990,0,29245 188 Ave SE,Kent,WA 98042,USA,2.5
1749,1749,1749,2014-06-03 00:00:00,223000.0,3.0,72.16828478964402,1030,9120,1.0,0,0,3,1030,0,1961,2004,26825 33rd Ave S,Kent,WA 98032,USA,1.0
1769,1769,1769,2014-06-03 00:00:00,575000.0,3.0,50.43859649122807,3800,33825,1.0,0,0,4,3330,470,1976,1992,24716 142nd Ave SE,Kent,WA 98042,USA,2.25
1774,1774,1774,2014-06-03 00:00:00,268000.0,3.0,45.346869712351946,1970,10270,1.0,0,0,4,1970,0,1966,0,3644 Manchester Way,Kent,WA 98032,USA,1.75
1800,1800,1800,2014-06-03 00:00:00,239000.0,3.0,59.45273631840796,1340,16480,1.0,0,0,4,1340,0,1968,0,26510 134th Ave SE,Kent,WA 98042,USA,1.75
1839,1839,1839,2014-06-04 00:00:00,270000.0,3.0,43.26923076923077,2080,4252,1.5,0,0,3,1550,530,2003,0,20442 137th Ave SE,Kent,WA 98042,USA,2.25
1841,1841,1841,2014-06-04 00:00:00,340000.0,3.0,51.75038051750381,2190,12626,2.0,0,0,4,2190,0,1978,2000,14000 SE 241st St,Kent,WA 98042,USA,1.75
1862,1862,1862,2014-06-04 00:00:00,289950.0,3.0,57.874251497005986,1670,7757,1.0,0,0,3,1670,0,1992,0,10009 SE 247th Pl,Kent,WA 98030,USA,2.0
1906,1906,1906,2014-06-04 00:00:00,129000.0,1.0,198.46153846153845,650,15364,1.0,0,0,4,650,0,1967,0,13712 SE 256th Pl,Kent,WA 98042,USA,1.0
1957,1957,1957,2014-06-05 00:00:00,292000.0,5.0,23.453815261044177,2490,7666,1.0,0,0,4,1490,1000,1989,0,12621 SE 222nd Pl,Kent,WA 98031,USA,2.5
1975,1975,1975,2014-06-05 00:00:00,255000.0,3.0,52.79503105590062,1610,6176,2.0,0,0,3,1610,0,1994,0,26300 127th Ave SE,Kent,WA 98030,USA,2.5
1998,1998,1998,2014-06-05 00:00:00,268500.0,4.0,31.964285714285715,2100,4237,2.0,0,0,3,2100,0,2006,0,12519 SE 236th Pl,Kent,WA 98031,USA,2.5
2033,2033,2033,2014-06-06 00:00:00,435000.0,4.0,33.25688073394495,3270,50994,2.0,0,0,4,2720,550,1983,0,19011 SE 283rd St,Kent,WA 98042,USA,2.75
2111,2111,2111,2014-06-09 00:00:00,307550.0,4.0,38.832070707070706,1980,5909,2.0,0,0,3,1980,0,2003,0,11717 SE 234th Pl,Kent,WA 98031,USA,2.5
2138,2138,2138,2014-06-09 00:00:00,599950.0,4.0,40.21112600536193,3730,15029,2.0,0,2,3,2440,1290,1991,0,24702 132nd Ct SE,Kent,WA 98042,USA,3.5
2160,2160,2160,2014-06-09 00:00:00,364900.0,3.0,48.653333333333336,2500,8304,2.0,0,0,3,2500,0,1997,0,13124 SE 223rd Ct,Kent,WA 98031,USA,3.0
2185,2185,2185,2014-06-10 00:00:00,315000.0,4.0,40.803108808290155,1930,9643,2.0,0,0,4,1930,0,1992,0,12108 SE 218th Pl,Kent,WA 98031,USA,2.5
2216,2216,2216,2014-06-10 00:00:00,250000.0,3.0,52.41090146750524,1590,7560,1.0,0,0,3,1130,460,1984,0,12033 SE 223rd Dr,Kent,WA 98031,USA,1.75
2235,2235,2235,2014-06-10 00:00:00,251750.0,3.0,63.573232323232325,1320,7200,1.0,0,0,5,1320,0,1975,0,12526 SE 232nd St,Kent,WA 98031,USA,2.0
2301,2301,2301,2014-06-11 00:00:00,285000.0,3.0,50.80213903743316,1870,4060,2.0,0,0,3,1870,0,2005,0,13303 SE 227th St,Kent,WA 98042,USA,2.5
2382,2382,2382,2014-06-12 00:00:00,235000.0,3.0,42.572463768115945,1840,9697,1.0,0,0,4,1500,340,1985,0,12034 SE 252 Pl,Kent,WA 98030,USA,1.75
2430,2430,2430,2014-06-12 00:00:00,315000.0,3.0,55.851063829787236,1880,7000,2.0,0,0,3,1880,0,1993,0,11718 SE 203rd St,Kent,WA 98031,USA,2.5
2442,2442,2442,2014-06-13 00:00:00,206135.0,3.0,51.277363184079604,1340,11070,1.0,0,0,4,1340,0,1978,2000,12129 SE 277th Pl,Kent,WA 98030,USA,1.0
2458,2458,2458,2014-06-13 00:00:00,300000.0,4.0,27.77777777777778,2700,10814,1.0,0,0,4,1560,1140,1966,0,12235 SE 259th Pl,Kent,WA 98030,USA,2.5
2463,2463,2463,2014-06-13 00:00:00,454000.0,4.0,43.155893536121674,2630,39000,2.0,0,0,3,2630,0,1979,2014,14404 SE 216th St,Kent,WA 98042,USA,2.25
2484,2484,2484,2014-06-13 00:00:00,325000.0,3.0,52.33494363929147,2070,8337,2.0,0,0,3,2070,0,1997,0,26300-26398 124th Ave SE,Kent,WA 98030,USA,2.5
2588,2588,2588,2014-06-16 00:00:00,565000.0,4.0,45.12779552715655,3130,139392,2.0,0,0,4,3130,0,1981,0,27705 114th Ave SE,Kent,WA 98030,USA,2.75
2613,2613,2613,2014-06-16 00:00:00,284000.0,3.0,50.354609929078016,1880,6008,2.0,0,0,3,1880,0,2009,0,29700 217th Pl SE,Kent,WA 98042,USA,2.5
2622,2622,2622,2014-06-17 00:00:00,242000.0,3.0,63.020833333333336,1280,7524,1.5,0,0,4,1280,0,1988,0,11431 SE 229th St,Kent,WA 98031,USA,1.75
2630,2630,2630,2014-06-17 00:00:00,259000.0,3.0,46.16755793226381,1870,5909,1.0,0,0,3,1270,600,1986,0,11834 SE 263rd Ct,Kent,WA 98030,USA,2.0
2660,2660,2660,2014-06-17 00:00:00,380000.0,4.0,44.18604651162791,2150,37647,2.0,0,0,3,2150,0,1991,0,19504 SE 324th St,Kent,WA 98042,USA,2.5
2669,2669,2669,2014-06-17 00:00:00,255000.0,3.0,50.0,1700,7532,1.0,0,0,3,1700,0,1987,2000,27456-27498 124th Ave SE,Kent,WA 98030,USA,1.75
2677,2677,2677,2014-06-17 00:00:00,382500.0,4.0,43.26923076923077,2210,7079,2.0,0,0,3,2210,0,1993,0,11824 SE 203rd St,Kent,WA 98031,USA,2.5
2691,2691,2691,2014-06-17 00:00:00,280000.0,4.0,36.26943005181347,1930,7207,1.0,0,0,4,1360,570,1988,0,25011 119th Pl SE,Kent,WA 98030,USA,2.25
2704,2704,2704,2014-06-17 00:00:00,294999.0,4.0,44.42756024096386,1660,9760,2.0,0,0,3,1660,0,1994,0,11400-11616 SE 266th St,Kent,WA 98030,USA,2.5
2720,2720,2720,2014-06-17 00:00:00,286800.0,3.0,67.65746638358104,1413,3600,2.0,0,0,3,1413,0,2011,0,20130 110th Terrace SE,Kent,WA 98031,USA,2.5
2751,2751,2751,2014-06-18 00:00:00,264000.0,4.0,36.26373626373626,1820,8118,1.0,0,0,4,1080,740,1980,0,12632 SE 214th St,Kent,WA 98031,USA,1.75
2762,2762,2762,2014-06-18 00:00:00,279950.0,5.0,26.04186046511628,2150,7171,1.0,0,0,4,1460,690,1970,0,23103 125th Ave SE,Kent,WA 98031,USA,1.75
2782,2782,2782,2014-06-18 00:00:00,568450.0,5.0,34.874233128834355,3260,58806,2.0,0,0,4,3260,0,1969,0,25806 136th Ave SE,Kent,WA 98042,USA,3.5
2857,2857,2857,2014-06-19 00:00:00,120000.0,2.0,60.60606060606061,990,39964,1.0,0,0,2,990,0,1945,0,19229 SE 272nd St,Kent,WA 98042,USA,1.0
2864,2864,2864,2014-06-19 00:00:00,249000.0,3.0,79.04761904761905,1050,8498,1.0,0,0,4,1050,0,1959,0,22115 104th Pl SE,Kent,WA 98031,USA,1.0
2870,2870,2870,2014-06-19 00:00:00,385000.0,3.0,55.55555555555556,2310,11200,1.0,0,0,4,1630,680,1978,2000,26525 Woodland Way S,Kent,WA 98030,USA,1.75
2965,2965,2965,2014-06-20 00:00:00,282000.0,4.0,37.301587301587304,1890,6302,2.0,0,0,3,1890,0,1997,0,10125 SE 242nd Pl,Kent,WA 98030,USA,2.0
3070,3070,3070,2014-06-23 00:00:00,362300.0,3.0,49.69821673525377,2430,15264,2.0,0,0,3,2430,0,1997,0,9226 S 247th Pl,Kent,WA 98030,USA,2.5
3073,3073,3073,2014-06-23 00:00:00,233500.0,3.0,47.17171717171717,1650,2958,2.0,0,0,3,1650,0,1985,0,23441 130th Ave SE,Kent,WA 98031,USA,2.25
3080,3080,3080,2014-06-23 00:00:00,345950.0,3.0,54.652448657187996,2110,4118,2.0,0,0,3,2110,0,1989,0,14150-14198 SE 238th Ln,Kent,WA 98042,USA,2.5
3083,3083,3083,2014-06-23 00:00:00,269500.0,3.0,48.822463768115945,1840,7412,1.0,0,0,4,1240,600,1976,1992,23309 115th Pl SE,Kent,WA 98031,USA,1.75
3094,3094,3094,2014-06-23 00:00:00,260000.0,4.0,32.5,2000,37045,2.0,0,0,3,2000,0,1989,0,29204 202nd Ave SE,Kent,WA 98042,USA,2.5
3103,3103,3103,2014-06-23 00:00:00,249000.0,3.0,83.0,1000,19204,1.0,0,0,3,1000,0,1968,2010,31825 197th Ave SE,Kent,WA 98042,USA,1.0
3131,3131,3131,2014-06-23 00:00:00,300000.0,4.0,40.76086956521739,1840,5550,2.0,0,0,3,1840,0,2004,2003,11831 SE 232nd Pl,Kent,WA 98031,USA,2.5
3132,3132,3132,2014-06-23 00:00:00,269950.0,4.0,26.569881889763778,2540,8400,2.0,0,0,5,2540,0,1977,0,25209 45th Ave S,Kent,WA 98032,USA,2.5
3152,3152,3152,2014-06-23 00:00:00,385000.0,4.0,35.648148148148145,2700,37011,2.0,0,0,3,2700,0,1984,0,18901 SE 281st St,Kent,WA 98042,USA,2.75
3154,3154,3154,2014-06-23 00:00:00,285000.0,3.0,57.2289156626506,1660,6263,2.0,0,0,3,1660,0,2003,0,27924-27998 150th Pl SE,Kent,WA 98042,USA,2.5
3158,3158,3158,2014-06-23 00:00:00,310000.0,3.0,40.68241469816273,2540,4775,2.0,0,0,3,2540,0,2006,0,21720 SE 299th Way,Kent,WA 98042,USA,2.5
3217,3217,3217,2014-06-24 00:00:00,319000.0,4.0,31.772908366533866,2510,7992,1.0,0,0,3,1610,900,1978,0,3709 S 256th Ct,Kent,WA 98032,USA,2.5
3233,3233,3233,2014-06-24 00:00:00,305000.0,4.0,34.502262443438916,2210,9371,2.0,0,0,4,2210,0,1968,0,4129 Hampton Way,Kent,WA 98032,USA,2.25
3244,3244,3244,2014-06-24 00:00:00,252000.0,3.0,50.29940119760479,1670,7881,1.0,0,0,4,1190,480,1977,0,12046 SE 214th St,Kent,WA 98031,USA,2.25
3249,3249,3249,2014-06-24 00:00:00,396500.0,3.0,51.02960102960103,2590,18980,1.0,0,0,4,2590,0,1976,1992,24292 141st Pl SE,Kent,WA 98042,USA,2.5
3278,3278,3278,2014-06-25 00:00:00,245000.0,3.0,57.91962174940898,1410,5760,1.0,0,0,3,1410,0,1985,0,25813 117th Pl SE,Kent,WA 98030,USA,2.0
3279,3279,3279,2014-06-25 00:00:00,390000.0,4.0,41.666666666666664,2340,8548,2.0,0,0,3,2340,0,1993,0,11824 SE 203rd St,Kent,WA 98031,USA,2.5
3307,3307,3307,2014-06-25 00:00:00,205000.0,3.0,65.07936507936508,1050,8498,1.0,0,0,3,1050,0,1958,2004,22123 103rd Pl SE,Kent,WA 98031,USA,1.0
3317,3317,3317,2014-06-25 00:00:00,330000.0,6.0,18.092105263157894,3040,28535,1.0,0,0,3,1890,1150,1951,1994,614 Hazel Ave N,Kent,WA 98030,USA,2.25
3329,3329,3329,2014-06-25 00:00:00,249000.0,4.0,34.01639344262295,1830,6136,2.0,0,0,3,1830,0,1990,2009,26120-26126 120th Pl SE,Kent,WA 98030,USA,2.25
3341,3341,3341,2014-06-25 00:00:00,245700.0,3.0,49.9390243902439,1640,8400,1.0,0,0,3,1180,460,1968,1997,25425 34th Pl S,Kent,WA 98032,USA,2.25
3376,3376,3376,2014-06-25 00:00:00,255950.0,3.0,49.60271317829457,1720,3676,2.0,0,0,3,1720,0,1992,0,11518 SE 221st Pl,Kent,WA 98031,USA,2.5
3428,3428,3428,2014-06-26 00:00:00,385000.0,4.0,30.078125,3200,22651,1.0,0,0,5,1610,1590,1970,0,23310 118th Pl SE,Kent,WA 98031,USA,2.5
3440,3440,3440,2014-06-26 00:00:00,268000.0,3.0,54.14141414141414,1650,6684,2.0,0,0,3,1650,0,1991,0,11813 SE 219th Pl,Kent,WA 98031,USA,2.5
3450,3450,3450,2014-06-26 00:00:00,315000.0,4.0,40.59278350515464,1940,10200,1.0,0,0,4,1140,800,1977,0,20825 135th Ave SE,Kent,WA 98042,USA,2.5
3451,3451,3451,2014-06-26 00:00:00,280927.0,4.0,33.92838164251208,2070,7350,2.0,0,0,4,2070,0,1977,0,26732 Carnaby Way,Kent,WA 98032,USA,2.25
3455,3455,3455,2014-06-26 00:00:00,289659.0,4.0,32.041924778761064,2260,7200,2.0,0,0,4,2260,0,1984,0,21114-21120 119th Ave SE,Kent,WA 98031,USA,2.25
3466,3466,3466,2014-06-26 00:00:00,354000.0,4.0,34.30232558139535,2580,5476,2.0,0,0,3,2580,0,2005,0,10125 SE 220th Pl,Kent,WA 98031,USA,2.5
3483,3483,3483,2014-06-26 00:00:00,200500.0,3.0,53.042328042328045,1260,9346,1.0,0,0,4,1260,0,1963,0,11612 SE 258th St,Kent,WA 98030,USA,1.75
3539,3539,3539,2014-06-27 00:00:00,330000.0,4.0,33.81147540983606,2440,7350,1.0,0,0,3,1610,830,1978,0,3716 S 253rd Pl,Kent,WA 98032,USA,1.75
3548,3548,3548,2014-06-27 00:00:00,279000.0,3.0,57.05521472392638,1630,7950,1.0,0,0,3,1320,310,1985,0,20101 137th Ave SE,Kent,WA 98042,USA,2.5
3564,3564,3564,2014-06-27 00:00:00,355000.0,3.0,58.00653594771242,2040,22693,1.0,0,0,4,2040,0,1980,0,15125 SE 278th Pl,Kent,WA 98042,USA,1.75
3580,3580,3580,2014-06-27 00:00:00,399950.0,3.0,51.874189364461735,2570,10431,2.0,0,0,3,2570,0,1989,0,9531 S 204th Pl,Kent,WA 98031,USA,2.5
3594,3594,3594,2014-06-27 00:00:00,234000.0,4.0,42.0863309352518,1390,18000,1.0,0,0,3,1390,0,1955,2013,3915 S 238th St,Kent,WA 98032,USA,1.0
3625,3625,3625,2014-06-29 00:00:00,402000.0,4.0,34.067796610169495,2950,15540,1.0,0,0,4,2120,830,1974,0,24204-24298 142nd Ave SE,Kent,WA 98042,USA,2.75
3647,3647,3647,2014-06-30 00:00:00,245000.0,3.0,62.82051282051282,1300,14197,1.0,0,0,3,860,440,1996,0,11748 SE 264th St,Kent,WA 98030,USA,2.75
3653,3653,3653,2014-06-30 00:00:00,327500.0,3.0,47.25829725829726,2310,7200,2.0,0,0,3,2310,0,1990,2009,11103 SE 219th Pl,Kent,WA 98031,USA,2.25
3679,3679,3679,2014-06-30 00:00:00,330000.0,4.0,35.256410256410255,2340,11784,2.0,0,0,3,2340,0,1997,0,24200-24498 144th Ave SE,Kent,WA 98042,USA,2.5
3711,3711,3711,2014-07-01 00:00:00,445000.0,4.0,48.79385964912281,2280,42077,2.0,0,0,3,2280,0,1994,0,19901-19999 SE 290th Pl,Kent,WA 98042,USA,2.5
3712,3712,3712,2014-07-01 00:00:00,274900.0,4.0,34.88578680203046,1970,6600,2.0,0,0,3,1970,0,1987,2000,28206 130th Ave SE,Kent,WA 98030,USA,2.5
3717,3717,3717,2014-07-01 00:00:00,328950.0,4.0,32.25,2550,8976,1.0,0,0,5,1300,1250,1978,0,19254 121st Pl SE,Kent,WA 98031,USA,1.75
3780,3780,3780,2014-07-01 00:00:00,375000.0,3.0,49.40711462450593,2530,35150,1.0,0,0,4,1800,730,1977,0,16621 SE 235th St,Kent,WA 98042,USA,1.75
3782,3782,3782,2014-07-01 00:00:00,260000.0,3.0,45.138888888888886,1920,9680,1.0,0,0,4,1300,620,1961,2001,10904 SE 212th St,Kent,WA 98031,USA,2.25
