bedrooms,city,date,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,country
5.0,Seattle,2014-05-06 00:00:00,488000.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0,9020-9024 11th Ave NW,WA 98117,USA
5.0,Kirkland,2014-05-06 00:00:00,455000.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,12633 NE 133rd Pl,WA 98034,USA
5.0,Redmond,2014-05-06 00:00:00,562000.0,2.25,3040,8111,2.0,0,0,3,3040,0,1984,0,17649 NE 129th Pl,WA 98052,USA
5.0,Bellevue,2014-05-06 00:00:00,530000.0,2.5,2910,9636,1.0,0,0,4,1690,1220,1964,0,3250 165th Ave SE,WA 98008,USA
5.0,Seattle,2014-05-06 00:00:00,533000.0,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,7434 Winona Ave N,WA 98103,USA
5.0,Mercer Island,2014-05-06 00:00:00,1870000.0,4.0,4510,15175,2.0,0,0,3,4510,0,1969,2002,8300 SE 82nd St,WA 98040,USA
5.0,Seattle,2014-05-06 00:00:00,390000.0,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0,3665 Renton Ave S,WA 98144,USA
5.0,Bellevue,2014-05-06 00:00:00,1800000.0,5.0,4490,10279,2.0,0,0,3,3930,560,2013,1923,1435 104th Ave SE,WA 98004,USA
5.0,Burien,2014-05-07 00:00:00,255000.0,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,2003,105 SW 129th St,WA 98146,USA
5.0,Seattle,2014-05-07 00:00:00,352000.0,2.5,2420,8560,1.0,0,2,3,1620,800,1978,0,3723 S Chicago St,WA 98118,USA
5.0,Woodinville,2014-05-07 00:00:00,900000.0,3.75,4130,226076,2.0,0,0,3,3170,960,1985,0,12809-12907 206th Ave NE,WA 98077,USA
5.0,Seattle,2014-05-07 00:00:00,380000.0,1.75,3000,6000,1.0,0,0,5,1500,1500,1958,0,8514 S 124th St,WA 98178,USA
5.0,Kirkland,2014-05-07 00:00:00,1532500.0,4.5,4270,8076,2.0,0,0,3,3400,870,2007,0,11017 101st Pl NE,WA 98033,USA
5.0,Seattle,2014-05-07 00:00:00,365000.0,2.75,2410,5003,1.0,0,0,3,1410,1000,2008,0,7956 46th Ave S,WA 98118,USA
5.0,Mercer Island,2014-05-08 00:00:00,980000.0,2.5,3160,11470,1.0,0,0,4,1780,1380,1971,0,7401 92nd Pl SE,WA 98040,USA
5.0,Mercer Island,2014-05-08 00:00:00,830000.0,3.0,3040,9601,1.0,0,0,5,1970,1070,1968,0,5200-5298 90th Ave SE,WA 98040,USA
5.0,Kent,2014-05-08 00:00:00,489990.0,2.25,2440,20828,1.5,0,0,4,2440,0,1975,0,13711 SE 251 Pl,WA 98042,USA
5.0,Seattle,2014-05-08 00:00:00,1307000.0,3.25,2800,3200,1.5,0,0,5,1910,890,1932,2002,365 Halladay St,WA 98109,USA
5.0,Issaquah,2014-05-09 00:00:00,532000.0,3.0,3480,57499,1.0,0,0,4,2340,1140,1976,1992,23801 SE 162nd St,WA 98027,USA
5.0,Burien,2014-05-09 00:00:00,315000.0,1.75,2320,8100,1.0,0,0,4,1160,1160,1956,0,439 SW 156th St,WA 98166,USA
5.0,Mercer Island,2014-05-09 00:00:00,1702500.0,4.5,5190,23716,2.0,0,2,3,3390,1800,1987,2000,8608 N Mercer Way,WA 98040,USA
5.0,Issaquah,2014-05-09 00:00:00,2238888.0,6.5,7270,130017,2.0,0,0,3,6420,850,2010,0,7070 270th Pl SE,WA 98029,USA
5.0,Seattle,2014-05-10 00:00:00,549900.0,2.75,3060,7015,1.0,0,0,5,1600,1460,1979,0,10834 31st Ave SW,WA 98146,USA
5.0,Bellevue,2014-05-12 00:00:00,1575000.0,2.75,3650,20150,1.0,0,0,4,2360,1290,1975,0,1216 86th Ave NE,WA 98004,USA
5.0,Seattle,2014-05-12 00:00:00,372500.0,3.0,2480,10090,1.0,0,0,3,1300,1180,2004,2003,5537 S 119th St,WA 98178,USA
5.0,Woodinville,2014-05-12 00:00:00,950000.0,3.0,4530,258746,1.5,0,0,4,3200,1330,2003,0,20325 NE 198th St,WA 98077,USA
5.0,Burien,2014-05-12 00:00:00,330000.0,3.0,2100,7715,1.0,0,0,3,1250,850,2013,1923,1047-1099 S 130th St,WA 98168,USA
5.0,Maple Valley,2014-05-12 00:00:00,302000.0,2.25,2180,7813,2.0,0,0,3,2180,0,1986,0,26405 218th Ave SE,WA 98038,USA
5.0,Clyde Hill,2014-05-12 00:00:00,1346400.0,1.75,3380,20021,1.0,0,0,4,1690,1690,1963,0,9640 NE 32nd St,WA 98004,USA
5.0,Redmond,2014-05-13 00:00:00,819900.0,2.75,3150,7119,2.0,0,0,3,3150,0,2013,1923,8082-8160 142nd Ave NE,WA 98052,USA
5.0,Woodinville,2014-05-13 00:00:00,480000.0,4.75,3830,35000,1.0,0,0,3,2130,1700,1976,0,18125 194th Ave NE,WA 98077,USA
5.0,Kent,2014-05-13 00:00:00,373000.0,2.5,3001,5710,2.0,0,0,3,3001,0,2006,0,25523 123rd Pl SE,WA 98030,USA
5.0,Seattle,2014-05-13 00:00:00,525000.0,3.0,2450,4591,2.0,0,0,3,2450,0,1994,0,7349 24th Ave NW,WA 98117,USA
5.0,Seattle,2014-05-13 00:00:00,245000.0,1.75,2020,7902,1.0,0,0,3,1220,800,1962,2003,10412 Aqua Way S,WA 98168,USA
5.0,Yarrow Point,2014-05-13 00:00:00,1895000.0,2.25,3120,16672,2.0,0,0,4,3120,0,1969,0,9045 NE 40th Pl,WA 98004,USA
5.0,Shoreline,2014-05-13 00:00:00,464000.0,2.5,3400,8970,1.0,0,0,4,1700,1700,1959,0,14700 Burke Ave N,WA 98133,USA
5.0,Redmond,2014-05-13 00:00:00,675000.0,3.0,3410,9600,1.0,0,0,4,1870,1540,1968,0,2830 177th Ave NE,WA 98052,USA
5.0,Bellevue,2014-05-13 00:00:00,580000.0,2.0,2290,7125,1.0,0,0,3,1190,1100,1964,2000,16541 NE 27th Pl,WA 98008,USA
5.0,Mercer Island,2014-05-13 00:00:00,1550000.0,3.25,3370,17458,1.0,0,2,5,2000,1370,1982,0,8126-8196 Forest Ave SE,WA 98040,USA
5.0,Mercer Island,2014-05-13 00:00:00,1400000.0,4.25,3530,7924,2.0,0,0,3,3530,0,2001,0,2278 72nd Ave SE,WA 98040,USA
5.0,Mercer Island,2014-05-13 00:00:00,1680000.0,3.25,4860,23723,2.0,0,2,4,3820,1040,1989,0,9250 SE 36th Pl,WA 98040,USA
5.0,Seattle,2014-05-14 00:00:00,620000.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929,0,7558 32nd Ave NW,WA 98117,USA
5.0,Federal Way,2014-05-14 00:00:00,740000.0,5.0,5774,31675,1.0,0,2,3,4490,1284,1984,0,28511 10th Ave S,WA 98003,USA
5.0,Seattle,2014-05-14 00:00:00,337500.0,2.0,1700,7314,1.0,0,0,3,1000,700,1956,2001,6000-6048 22nd Ave S,WA 98108,USA
5.0,Sammamish,2014-05-14 00:00:00,966000.0,4.5,3810,8019,2.0,0,0,3,3810,0,2008,0,2033 211th Pl SE,WA 98075,USA
5.0,SeaTac,2014-05-14 00:00:00,349950.0,3.0,2257,10117,1.0,0,0,3,1363,894,2005,0,3755 S 168th St,WA 98188,USA
5.0,Seattle,2014-05-14 00:00:00,607500.0,1.75,2220,6000,1.5,0,0,3,1420,800,1923,1998,3047 21st Ave W,WA 98199,USA
5.0,Mercer Island,2014-05-14 00:00:00,955000.0,2.25,2510,9887,2.0,0,0,3,2510,0,1972,2002,7590 86th Ave SE,WA 98040,USA
5.0,Bellevue,2014-05-15 00:00:00,1000000.0,4.25,3920,16258,2.0,0,0,3,2900,1020,1990,2009,2548 111th Ave SE,WA 98004,USA
5.0,Seattle,2014-05-15 00:00:00,585000.0,1.75,2000,3750,2.0,0,0,4,2000,0,1921,0,309 N 46th St,WA 98103,USA
5.0,Issaquah,2014-05-15 00:00:00,765000.0,3.75,3580,14275,2.0,0,0,3,3190,390,1999,0,170 Mt Quay Dr NW,WA 98027,USA
5.0,Newcastle,2014-05-15 00:00:00,819995.0,2.75,3030,10335,2.0,0,0,3,3030,0,2013,1923,8024 117th Pl SE,WA 98056,USA
5.0,Tukwila,2014-05-16 00:00:00,239950.0,1.0,1460,6032,2.0,0,0,4,1460,0,1941,1998,13012 41st Ave S,WA 98168,USA
5.0,Redmond,2014-05-16 00:00:00,725000.0,2.75,2830,5310,2.0,0,0,3,2830,0,2006,0,11931 179th Pl NE,WA 98052,USA
5.0,Covington,2014-05-16 00:00:00,205000.0,1.75,1730,5200,1.0,0,0,4,1050,680,1978,2000,26607 190th Ave SE,WA 98042,USA
5.0,Mercer Island,2014-05-16 00:00:00,2000000.0,4.25,6490,10862,2.0,0,3,4,3940,2550,1991,0,4080 E Mercer Way,WA 98040,USA
5.0,Sammamish,2014-05-16 00:00:00,804995.0,1.5,3360,5402,2.0,0,0,3,3360,0,2014,0,21481 SE 2nd Pl,WA 98074,USA
5.0,Snoqualmie,2014-05-16 00:00:00,675000.0,2.5,3200,6455,2.0,0,0,3,3200,0,2009,0,6227-6299 Whitaker Ln SE,WA 98065,USA
5.0,Enumclaw,2014-05-18 00:00:00,297000.0,2.5,1970,8605,2.0,0,0,4,1970,0,1994,0,419 Wetherbee Ln,WA 98022,USA
5.0,Renton,2014-05-19 00:00:00,290000.0,1.5,2120,7700,1.5,0,0,5,2120,0,1962,0,12611 SE 160th St,WA 98058,USA
5.0,Seattle,2014-05-19 00:00:00,762000.0,2.0,3370,5000,1.5,0,0,4,2140,1230,1907,0,365 Crockett St,WA 98109,USA
5.0,Redmond,2014-05-19 00:00:00,602000.0,1.75,3290,11900,1.5,0,0,3,3290,0,1973,2013,6305 150th Ave NE,WA 98052,USA
5.0,Issaquah,2014-05-19 00:00:00,869000.0,3.25,4180,49222,2.0,0,0,4,2880,1300,1979,0,18524 SE 60th St,WA 98027,USA
5.0,Kenmore,2014-05-19 00:00:00,446000.0,2.75,2190,12687,1.0,0,0,5,1370,820,1978,0,20402 63rd Ave NE,WA 98028,USA
5.0,Bellevue,2014-05-19 00:00:00,462000.0,1.75,1250,10530,1.0,0,0,4,1250,0,1966,0,4 151st Pl NE,WA 98007,USA
5.0,Federal Way,2014-05-19 00:00:00,298450.0,3.0,2100,9752,1.0,0,0,3,1200,900,2007,0,29801-29829 23rd Avenue South,WA 98003,USA
5.0,Renton,2014-05-20 00:00:00,405000.0,2.5,2430,4781,2.0,0,0,3,2430,0,2001,0,16819 SE 171st Pl,WA 98058,USA
5.0,Renton,2014-05-20 00:00:00,499950.0,3.5,3200,43560,2.0,0,0,3,3200,0,1989,0,18460 SE 143rd St,WA 98059,USA
5.0,Sammamish,2014-05-20 00:00:00,598000.0,2.25,2890,12478,2.0,0,0,3,2890,0,1977,2004,2116 Sahalee Dr E,WA 98074,USA
5.0,Seattle,2014-05-20 00:00:00,345600.0,3.5,2800,5120,2.5,0,0,3,2800,0,1903,2005,352 17th Ave,WA 98122,USA
5.0,Seattle,2014-05-20 00:00:00,490000.0,3.5,4460,2975,3.0,0,2,3,3280,1180,2013,1923,1400 10th Ave W,WA 98119,USA
5.0,Seattle,2014-05-21 00:00:00,230000.0,2.0,1930,6120,1.5,0,0,3,1930,0,1941,1969,10645 2nd Ave SW,WA 98146,USA
5.0,Mercer Island,2014-05-21 00:00:00,895000.0,3.0,2876,13927,1.0,0,2,4,1970,906,1973,0,5558 W Mercer Way,WA 98040,USA
5.0,Issaquah,2014-05-21 00:00:00,542500.0,3.25,3010,1074218,1.5,0,0,5,2010,1000,1931,0,16200-16398 252nd Ave SE,WA 98027,USA
5.0,Bellevue,2014-05-21 00:00:00,975000.0,4.0,4850,36450,2.0,0,0,3,4850,0,1977,2004,13600 NE 36th Pl,WA 98005,USA
5.0,Issaquah,2014-05-21 00:00:00,950000.0,3.75,5330,6000,2.0,0,2,3,3570,1760,2006,0,832 Summerhill Ridge Dr NW,WA 98027,USA
5.0,Kirkland,2014-05-21 00:00:00,2700000.0,4.75,5305,8401,2.0,0,2,3,3745,1560,2005,0,1010 6th St W,WA 98033,USA
5.0,Woodinville,2014-05-22 00:00:00,482000.0,2.25,2230,9600,1.0,0,0,3,1320,910,1978,0,16218 195th Pl NE,WA 98077,USA
5.0,Seattle,2014-05-22 00:00:00,300000.0,2.5,2760,6000,2.0,0,0,3,2760,0,2006,0,843 S Rose St,WA 98108,USA
5.0,Seattle,2014-05-22 00:00:00,380000.0,3.5,2420,4670,2.0,0,0,3,2420,0,2013,1923,8803 38th Ave S,WA 98118,USA
5.0,Federal Way,2014-05-23 00:00:00,556000.0,2.5,3840,16905,2.0,0,0,3,3840,0,1991,0,739 SW 337th St,WA 98023,USA
5.0,Bellevue,2014-05-23 00:00:00,950000.0,3.25,3400,7452,2.0,0,0,3,3400,0,1999,0,15251 NE 6th St,WA 98007,USA
5.0,Shoreline,2014-05-23 00:00:00,377691.0,1.75,2120,8399,1.0,0,0,4,1320,800,1942,1982,18318 Meridian Ave N,WA 98133,USA
5.0,Sammamish,2014-05-24 00:00:00,2000000.0,4.0,4580,4443,3.0,1,4,3,4580,0,2004,2003,4277 E Lake Sammamish Shore Ln SE,WA 98075,USA
5.0,Sammamish,2014-05-27 00:00:00,735000.0,2.75,3390,5211,2.0,0,0,3,3390,0,2004,2003,Trossachs Blvd SE,WA 98075,USA
5.0,Kenmore,2014-05-27 00:00:00,389000.0,2.0,2330,10750,1.0,0,0,4,1190,1140,1962,0,14323 73rd Ave NE,WA 98028,USA
5.0,Seattle,2014-05-27 00:00:00,525000.0,3.0,2750,3800,1.5,0,0,5,1750,1000,1926,0,7550 14th Avenue Northeast,WA 98115,USA
5.0,Federal Way,2014-05-27 00:00:00,569950.0,4.5,4850,40902,2.0,0,0,3,4850,0,2001,0,31617 6th Ave SW,WA 98023,USA
5.0,Tukwila,2014-05-27 00:00:00,292050.0,3.0,2840,7199,1.0,0,0,3,1710,1130,2003,0,10719 47th Ave S,WA 98178,USA
5.0,Kirkland,2014-05-27 00:00:00,415000.0,1.5,1900,10226,1.0,0,0,3,1130,770,1961,2004,8605 NE 137th St,WA 98034,USA
5.0,Des Moines,2014-05-27 00:00:00,295832.0,1.0,1410,6400,1.0,0,0,5,960,450,1955,0,20208 1st Pl S,WA 98198,USA
5.0,Sammamish,2014-05-27 00:00:00,960000.0,4.0,3720,15200,2.0,0,0,3,3720,0,2005,0,1414 235th Pl SE,WA 98075,USA
5.0,Mercer Island,2014-05-27 00:00:00,970000.0,3.0,3480,15185,2.0,0,0,4,3480,0,1964,0,3601-3733 Greenbrier Ln,WA 98040,USA
5.0,Kirkland,2014-05-27 00:00:00,1710000.0,4.5,4590,14685,2.0,0,0,3,4590,0,2009,0,6402-6412 105th Ave NE,WA 98033,USA
5.0,Bellevue,2014-05-28 00:00:00,898000.0,1.5,2680,28014,1.0,0,0,4,1450,1230,1963,0,2615 109th Pl NE,WA 98004,USA
5.0,Seattle,2014-05-28 00:00:00,580000.0,2.0,1940,6000,1.0,0,0,5,970,970,1945,0,8026 38th Ave NE,WA 98115,USA
5.0,Seattle,2014-05-29 00:00:00,750500.0,3.0,2170,2440,1.5,0,0,4,1450,720,1911,1966,1006 NE Ravenna Blvd,WA 98105,USA
5.0,Seattle,2014-05-29 00:00:00,550000.0,2.0,2450,9488,1.0,0,0,4,1240,1210,1900,1955,10515 Ashworth Ave N,WA 98133,USA
5.0,Bellevue,2014-05-29 00:00:00,790000.0,3.25,2900,12160,1.0,0,0,4,1890,1010,1967,0,465 129th Pl NE,WA 98005,USA
5.0,Kenmore,2014-05-29 00:00:00,400000.0,2.0,1930,9747,1.0,0,0,4,1020,910,1962,0,20210 78th Pl NE,WA 98028,USA
5.0,Kirkland,2014-05-29 00:00:00,405000.0,1.75,1880,10000,1.0,0,0,3,960,920,1963,2008,10414 NE 131st St,WA 98034,USA
5.0,Duvall,2014-05-29 00:00:00,525000.0,2.5,2630,9216,2.0,0,0,3,2630,0,2003,0,27831 NE 153rd Pl,WA 98019,USA
5.0,Bothell,2014-05-30 00:00:00,458000.0,2.5,3090,23265,1.0,0,0,3,2990,100,1957,2000,9631 NE 198th St,WA 98011,USA
5.0,Bellevue,2014-05-30 00:00:00,1886700.0,3.5,4180,17935,2.0,0,0,3,4180,0,2004,2003,2526 104th Ave SE,WA 98004,USA
5.0,Seattle,2014-05-30 00:00:00,740000.0,3.75,3990,18897,2.0,0,0,3,3090,900,1937,2010,1714 NE Brockman Pl,WA 98125,USA
5.0,Seattle,2014-05-30 00:00:00,427000.0,2.75,2220,4000,1.0,0,0,3,1230,990,1973,2013,3112 21st Ave S,WA 98144,USA
5.0,Sammamish,2014-05-31 00:00:00,538888.0,2.75,2080,13189,2.0,0,0,3,2080,0,1987,2000,23022 NE 21st St,WA 98074,USA
5.0,Bellevue,2014-06-01 00:00:00,1595000.0,3.0,3640,8239,2.0,0,3,3,2540,1100,1982,0,17200 SE 29th Ct,WA 98008,USA
5.0,Mercer Island,2014-06-02 00:00:00,1250000.0,3.25,3160,13238,2.0,0,0,5,3160,0,1972,0,7325 86th Ave SE,WA 98040,USA
5.0,Kent,2014-06-02 00:00:00,320000.0,2.5,3020,21441,1.0,0,0,4,1510,1510,1978,2000,29234 158th Ave SE,WA 98042,USA
5.0,Seattle,2014-06-02 00:00:00,610000.0,2.5,3990,3839,1.0,0,0,4,1990,2000,1962,0,431 26th Ave E,WA 98112,USA
5.0,Seattle,2014-06-03 00:00:00,650000.0,2.75,2550,5040,1.5,0,0,5,2550,0,1902,0,1417 26th Ave,WA 98122,USA
5.0,Shoreline,2014-06-03 00:00:00,941500.0,3.5,3490,9680,2.0,0,4,3,2460,1030,1980,0,20122 Richmond Beach Dr NW,WA 98177,USA
5.0,Kirkland,2014-06-03 00:00:00,449500.0,2.75,2040,7488,1.0,0,0,4,1200,840,1969,0,12610 NE 142nd St,WA 98034,USA
5.0,Vashon,2014-06-03 00:00:00,437000.0,2.0,2120,137565,1.5,0,0,3,2120,0,1913,1983,16633 Westside Hwy SW,WA 98070,USA
5.0,Bellevue,2014-06-03 00:00:00,613000.0,2.5,2070,12000,1.0,0,0,4,1340,730,1967,0,1813 177th Ave NE,WA 98008,USA
5.0,Seattle,2014-06-03 00:00:00,847000.0,1.0,2550,4623,2.5,0,0,4,2550,0,1905,0,805 30th Ave,WA 98122,USA
5.0,Auburn,2014-06-03 00:00:00,309000.0,2.75,2481,4045,2.0,0,0,3,2481,0,2014,0,38071 39th Ave S,WA 98001,USA
5.0,Bellevue,2014-06-04 00:00:00,1270000.0,2.5,3200,17204,1.0,0,0,3,2160,1040,1952,2008,8726 NE 11th St,WA 98004,USA
5.0,Bellevue,2014-06-04 00:00:00,1126000.0,3.5,3880,13885,2.0,0,3,4,2540,1340,1979,0,13800 SE 43rd St,WA 98006,USA
5.0,Seattle,2014-06-04 00:00:00,2400000.0,3.25,3410,9088,2.0,0,3,3,2760,650,1912,1994,309 W Prospect St,WA 98119,USA
5.0,Shoreline,2014-06-04 00:00:00,500000.0,3.0,2920,11440,2.0,0,0,3,2920,0,2003,0,18202 Dayton Ave N,WA 98133,USA
5.0,Bellevue,2014-06-04 00:00:00,565000.0,2.5,2650,11455,1.0,0,0,3,1400,1250,1961,2004,527 171st Pl NE,WA 98008,USA
5.0,Bellevue,2014-06-04 00:00:00,1100000.0,2.75,2660,8737,1.0,0,4,5,1470,1190,1969,0,4435 140th Ave SE,WA 98006,USA
5.0,Renton,2014-06-04 00:00:00,453500.0,2.5,2300,23345,1.0,0,0,5,1170,1130,1967,0,16930 SE 144th St,WA 98059,USA
5.0,Seattle,2014-06-04 00:00:00,989000.0,3.5,3280,4000,2.0,0,0,3,2440,840,2003,0,8309 30th Ave NW,WA 98117,USA
5.0,Renton,2014-06-04 00:00:00,190000.0,2.0,1750,10284,1.0,0,0,4,1750,0,1943,0,1916 Harrington Cir NE,WA 98056,USA
5.0,Kenmore,2014-06-04 00:00:00,545000.0,2.5,2730,17240,1.0,0,0,5,1660,1070,1958,0,18718 56th Ave NE,WA 98028,USA
5.0,Seattle,2014-06-05 00:00:00,875000.0,2.5,2920,5568,2.0,0,0,3,2320,600,1906,2014,747 16th Ave E,WA 98112,USA
5.0,Seattle,2014-06-05 00:00:00,495000.0,3.0,2440,4750,1.0,0,0,3,1450,990,2006,0,5954 24th Ave S,WA 98108,USA
5.0,Snoqualmie,2014-06-05 00:00:00,1075000.0,4.75,5180,17811,2.0,0,2,3,4070,1110,2001,0,6766 Cascade Ave SE,WA 98065,USA
5.0,Kent,2014-06-05 00:00:00,292000.0,2.5,2490,7666,1.0,0,0,4,1490,1000,1989,0,12621 SE 222nd Pl,WA 98031,USA
5.0,Bellevue,2014-06-05 00:00:00,1800000.0,4.5,4400,15580,2.0,0,0,3,3390,1010,2003,0,1404-1418 100th Ave NE,WA 98004,USA
5.0,Kirkland,2014-06-06 00:00:00,525000.0,2.75,2440,8000,1.0,0,0,4,1240,1200,1972,0,12806 NE 141st Ct,WA 98034,USA
5.0,Shoreline,2014-06-06 00:00:00,805000.0,2.5,4600,19831,1.0,0,3,3,2300,2300,1956,2013,18015 15th Ave NW,WA 98177,USA
5.0,Kenmore,2014-06-06 00:00:00,1120000.0,2.75,4400,18500,1.0,0,3,5,2250,2150,1963,0,15530-15998 61st Ave NE,WA 98028,USA
5.0,Seattle,2014-06-06 00:00:00,279000.0,2.5,2690,5557,2.0,0,0,3,2690,0,2012,1912,6421 S 124th St,WA 98178,USA
5.0,Sammamish,2014-06-06 00:00:00,837219.0,2.75,3030,7679,2.0,0,0,3,3030,0,2014,0,1855-1899 212th Ave SE,WA 98075,USA
5.0,Bothell,2014-06-08 00:00:00,540000.0,3.0,2870,4369,2.0,0,0,3,2090,780,2007,0,11175 NE 162nd St,WA 98011,USA
5.0,Bellevue,2014-06-09 00:00:00,1635000.0,3.5,4220,26784,1.0,0,0,3,2110,2110,1958,2006,400 Detwiller Ln,WA 98004,USA
5.0,Enumclaw,2014-06-09 00:00:00,250000.0,1.5,2520,5753,1.5,0,0,4,1510,1010,1928,0,2134 Montgomery Ave,WA 98022,USA
5.0,Kirkland,2014-06-10 00:00:00,1025000.0,4.0,3760,28040,2.0,0,0,3,3760,0,1983,2009,4143 118th Ave NE,WA 98033,USA
5.0,Lake Forest Park,2014-06-10 00:00:00,569000.0,3.0,3670,10583,1.0,0,0,5,2060,1610,1952,1998,5011 NE 180th St,WA 98155,USA
5.0,Fall City,2014-06-10 00:00:00,435000.0,2.25,1970,15247,1.0,0,0,3,1450,520,1986,0,4309 327th Pl SE,WA 98024,USA
5.0,Seattle,2014-06-10 00:00:00,1240000.0,3.0,2830,7500,2.0,0,0,3,2460,370,1923,1998,4007 48th Ave NE,WA 98105,USA
5.0,Mercer Island,2014-06-10 00:00:00,1795000.0,3.25,5270,17232,2.0,0,1,3,4010,1260,1977,2003,5355 84th Pl SE,WA 98040,USA
5.0,Bellevue,2014-06-10 00:00:00,895000.0,2.5,2550,20875,1.0,0,0,4,1610,940,1953,1983,11034 NE 26th Pl,WA 98004,USA
5.0,Kirkland,2014-06-10 00:00:00,750000.0,3.25,2750,7500,2.0,0,1,3,2150,600,1937,1997,10237 NE 64th St,WA 98033,USA
5.0,Kirkland,2014-06-10 00:00:00,1180000.0,3.75,3630,6000,1.5,0,0,3,2470,1160,2004,2003,810 5th St,WA 98033,USA
5.0,Seattle,2014-06-10 00:00:00,700000.0,2.75,3100,9825,2.0,0,2,4,3100,0,1950,1982,4251 NE 125th St,WA 98125,USA
5.0,Federal Way,2014-06-10 00:00:00,480000.0,2.5,2732,9500,1.0,0,2,4,1870,862,1975,0,1006 S 286th Pl,WA 98003,USA
5.0,Seattle,2014-06-10 00:00:00,1059500.0,3.25,3230,3825,2.0,0,0,3,2480,750,2014,0,6729 Earl Ave NW,WA 98117,USA
5.0,Renton,2014-06-10 00:00:00,525000.0,2.75,2880,8364,2.0,0,0,3,2880,0,2006,0,407 Kitsap Ave NE,WA 98059,USA
5.0,SeaTac,2014-06-11 00:00:00,248000.0,1.5,1510,9078,1.0,0,0,4,1510,0,1959,0,2052 S 132nd St,WA 98168,USA
5.0,Bellevue,2014-06-11 00:00:00,7062500.0,4.5,10040,37325,2.0,1,2,3,7680,2360,1940,2001,4442 95th Ave NE,WA 98004,USA
5.0,Seattle,2014-06-11 00:00:00,295000.0,3.5,2100,5107,2.0,0,0,3,1410,690,1999,0,10026 61st Ave S,WA 98178,USA
5.0,Seattle,2014-06-11 00:00:00,1085000.0,2.5,2340,6000,2.0,0,0,4,2340,0,1922,0,3107 37th Pl S,WA 98144,USA
5.0,Seattle,2014-06-11 00:00:00,2888000.0,6.25,8670,64033,2.0,0,4,3,6120,2550,1965,2003,1291 NW Elford Dr,WA 98177,USA
5.0,Bellevue,2014-06-11 00:00:00,1365000.0,3.5,4210,17258,2.0,0,3,3,4210,0,1995,0,5564 169th Pl SE,WA 98006,USA
5.0,Issaquah,2014-06-11 00:00:00,535000.0,2.25,2520,49222,2.0,0,0,4,2520,0,1978,2000,20645 SE 123rd St,WA 98027,USA
